  ###################################################################################################
  # Eta photoproduction Single Energy Solution 1 - Real Part
  # Reaction: gamma p --> eta p
  # Publication: H. Osmanović et all,  Phys. Rev. C 97, 015207 – Published 31 January 2018
  # Database: data.pwatuzla.com
  ###################################################################################################     
       W           E0+          E0-         M0+         M0-         E1+         E1-         M1+         M1-         E2+         E2-         M2+         M2-         E3+         E3-         M3+         M3-         E4+         E4-         M4+         M4-         E5+         E5-         M5+         M5-       ErrE0+      ErrE0-      ErrM0+      ErrM0-      ErrE1+      ErrE1-      ErrM1+      ErrM1-      ErrE2+      ErrE2-      ErrM2+      ErrM2-      ErrE3+      ErrE3-      ErrM3+      ErrM3-      ErrE4+      ErrE4-      ErrM4+      ErrM4-      ErrE5+      ErrE5-      ErrM5+      ErrM5- 
    1624.871     -8.5296      0.0000      0.0000      0.0000      0.1691      0.0000      1.2212      0.0781      0.0471     -0.6193      0.1174     -0.4582      0.0128      0.0160      0.0587      0.0522     -0.0115      0.0338      0.0151     -0.0262      0.0038      0.0053      0.0177     -0.0064      0.0404      0.0000      0.0000      0.0000      0.0284      0.0000      0.0514      0.1229      0.0168      0.0478      0.0260      0.0436      0.0132      0.0283      0.0184      0.0272      0.0092      0.0155      0.0119      0.0156      0.0056      0.0083      0.0074      0.0091
    1635.978     -7.4954      0.0000      0.0000      0.0000      0.1520      0.0000      1.2195      0.0714      0.0378     -0.5727      0.1212     -0.4766      0.0154     -0.0033      0.0266      0.0318     -0.0139      0.0328      0.0098     -0.0318      0.0050     -0.0025      0.0248      0.0092      0.0442      0.0000      0.0000      0.0000      0.0271      0.0000      0.0503      0.1295      0.0160      0.0489      0.0269      0.0443      0.0126      0.0291      0.0188      0.0282      0.0076      0.0134      0.0096      0.0143      0.0049      0.0087      0.0072      0.0085
    1646.896     -6.5401      0.0000      0.0000      0.0000      0.1371      0.0000      1.1963      0.1393      0.0521     -0.5050      0.1606     -0.4780      0.0186     -0.0224      0.0088      0.0189     -0.0053      0.0184      0.0122     -0.0220      0.0028     -0.0008      0.0190      0.0179      0.0532      0.0000      0.0000      0.0000      0.0297      0.0000      0.0538      0.1230      0.0173      0.0491      0.0283      0.0417      0.0128      0.0272      0.0184      0.0260      0.0088      0.0150      0.0122      0.0149      0.0058      0.0095      0.0067      0.0090
    1657.629     -5.7812      0.0000      0.0000      0.0000      0.1195      0.0000      1.1508      0.2651      0.0591     -0.4239      0.1829     -0.4635      0.0223     -0.0805      0.0236      0.0365      0.0112      0.0042      0.0220     -0.0152      0.0068     -0.0077      0.0191      0.0058      0.0604      0.0000      0.0000      0.0000      0.0324      0.0000      0.0540      0.1170      0.0194      0.0489      0.0270      0.0384      0.0154      0.0269      0.0181      0.0245      0.0118      0.0169      0.0142      0.0150      0.0068      0.0082      0.0065      0.0092
    1671.271     -5.1000      0.0000      0.0000      0.0000      0.0622      0.0000      1.0881      0.5158      0.0634     -0.3260      0.2432     -0.4363      0.0203     -0.1488      0.0333      0.0374      0.0033     -0.0139      0.0273     -0.0080      0.0124     -0.0230      0.0230      0.0172      0.0605      0.0000      0.0000      0.0000      0.0305      0.0000      0.0540      0.1095      0.0161      0.0438      0.0275      0.0353      0.0109      0.0222      0.0162      0.0208      0.0074      0.0129      0.0109      0.0130      0.0056      0.0081      0.0073      0.0080
    1691.639     -4.8651      0.0000      0.0000      0.0000     -0.0649      0.0000      1.0139      0.9485      0.0363     -0.2775      0.2836     -0.3806      0.0205     -0.2295      0.0686      0.0016     -0.0051     -0.0337      0.0438      0.0241      0.0073     -0.0216      0.0175      0.0121      0.0708      0.0000      0.0000      0.0000      0.0318      0.0000      0.0538      0.1115      0.0190      0.0501      0.0272      0.0363      0.0128      0.0242      0.0162      0.0232      0.0071      0.0145      0.0112      0.0117      0.0045      0.0117      0.0071      0.0084
    1711.271     -4.7870      0.0000      0.0000      0.0000     -0.1575      0.0000      0.8990      1.4413      0.0162     -0.2332      0.3369     -0.4230      0.0528     -0.2785      0.0989     -0.0210     -0.0144     -0.0248      0.0397      0.0239      0.0071     -0.0086      0.0251      0.0025      0.0772      0.0000      0.0000      0.0000      0.0348      0.0000      0.0561      0.1095      0.0200      0.0489      0.0266      0.0350      0.0128      0.0228      0.0167      0.0189      0.0072      0.0147      0.0111      0.0118      0.0046      0.0099      0.0065      0.0081
    1730.083     -4.5116      0.0000      0.0000      0.0000     -0.2456      0.0000      0.7397      1.8453      0.0097     -0.2690      0.3618     -0.5126      0.0587     -0.2918      0.1035      0.0075     -0.0065     -0.0205      0.0341      0.0234      0.0068     -0.0184      0.0320      0.0204      0.0850      0.0000      0.0000      0.0000      0.0368      0.0000      0.0584      0.1078      0.0206      0.0505      0.0284      0.0337      0.0137      0.0270      0.0189      0.0189      0.0080      0.0159      0.0119      0.0108      0.0053      0.0097      0.0067      0.0086
    1748.157     -4.1417      0.0000      0.0000      0.0000     -0.2408      0.0000      0.6998      1.8752      0.0259     -0.4075      0.3307     -0.5719      0.0802     -0.1842      0.1474     -0.0125      0.0142     -0.0619      0.0200      0.0277      0.0089      0.0146      0.0435      0.0108      0.0747      0.0000      0.0000      0.0000      0.0261      0.0000      0.0532      0.1028      0.0169      0.0591      0.0250      0.0367      0.0139      0.0218      0.0169      0.0192      0.0090      0.0130      0.0106      0.0117      0.0047      0.0077      0.0070      0.0069
    1765.408     -3.9562      0.0000      0.0000      0.0000     -0.2891      0.0000      0.6046      1.8531      0.0329     -0.6073      0.2984     -0.5266      0.0671     -0.1376      0.1330     -0.0056      0.0230     -0.0981      0.0201      0.0470      0.0036      0.0316      0.0373      0.0085      0.0862      0.0000      0.0000      0.0000      0.0307      0.0000      0.0568      0.1206      0.0162      0.0655      0.0284      0.0488      0.0121      0.0309      0.0192      0.0272      0.0078      0.0172      0.0108      0.0122      0.0051      0.0096      0.0077      0.0097
    1781.861     -3.8605      0.0000      0.0000      0.0000     -0.2715      0.0000      0.5089      1.9950     -0.0265     -0.6730      0.2725     -0.4845      0.0928     -0.2506      0.1545      0.0351      0.0153     -0.0479      0.0119      0.0692     -0.0072     -0.0101      0.0143     -0.0113      0.1659      0.0000      0.0000      0.0000      0.0559      0.0000      0.0856      0.1622      0.0234      0.0878      0.0347      0.0518      0.0107      0.0335      0.0147      0.0191      0.0081      0.0133      0.0090      0.0100      0.0067      0.0079      0.0050      0.0077
    1801.447     -3.4421      0.0000      0.0000      0.0000     -0.3411      0.0000      0.4217      2.1576      0.0161     -0.6089      0.3053     -0.5373      0.0862     -0.3045      0.1883      0.0704      0.0180     -0.0188      0.0124      0.0729     -0.0238     -0.0216      0.0175     -0.0219      0.1194      0.0000      0.0000      0.0000      0.0336      0.0000      0.0533      0.1006      0.0176      0.0661      0.0252      0.0329      0.0133      0.0166      0.0136      0.0199      0.0080      0.0092      0.0094      0.0120      0.0071      0.0076      0.0076      0.0077
    1829.818     -2.9460      0.0000      0.0000      0.0000     -0.3988      0.0000      0.4467      2.0194      0.0243     -0.7284      0.2988     -0.4310      0.1214     -0.2448      0.2253      0.0243     -0.0194     -0.0522     -0.0051      0.0840      0.0050     -0.0286      0.0292     -0.0142      0.1049      0.0000      0.0000      0.0000      0.0392      0.0000      0.0602      0.0916      0.0264      0.0677      0.0316      0.0310      0.0111      0.0267      0.0131      0.0189      0.0065      0.0125      0.0087      0.0108      0.0058      0.0080      0.0079      0.0073
    1840.096     -2.9023      0.0000      0.0000      0.0000     -0.4468      0.0000      0.5298      1.9364      0.0535     -0.8541      0.2909     -0.3874      0.1057     -0.2145      0.2301      0.0397     -0.0229     -0.0740     -0.0132      0.0706      0.0139     -0.0344      0.0336      0.0048      0.1864      0.0000      0.0000      0.0000      0.0695      0.0000      0.1068      0.1626      0.0469      0.1201      0.0560      0.0550      0.0197      0.0474      0.0232      0.0335      0.0115      0.0221      0.0155      0.0192      0.0102      0.0142      0.0140      0.0130
