       W           E0+          E0-         M0+         M0-         E1+         E1-         M1+         M1-         E2+         E2-         M2+         M2-         E3+         E3-         M3+         M3-         E4+         E4-         M4+         M4-         E5+         E5-         M5+         M5-       ErrE0+      ErrE0-      ErrM0+      ErrM0-      ErrE1+      ErrE1-      ErrM1+      ErrM1-      ErrE2+      ErrE2-      ErrM2+      ErrM2-      ErrE3+      ErrE3-      ErrM3+      ErrM3-      ErrE4+      ErrE4-      ErrM4+      ErrM4-      ErrE5+      ErrE5-      ErrM5+      ErrM5- 
    1624.871     -8.6446      0.0000      0.0000      0.0000      0.0692      0.0000      1.1036     -0.1630      0.0392     -0.7520      0.0986     -0.4245      0.0017      0.0267      0.0284      0.0633     -0.0140      0.0037      0.0137     -0.0074      0.0034     -0.0038      0.0097      0.0034      0.0388      0.0000      0.0000      0.0000      0.0251      0.0000      0.0438      0.0947      0.0148      0.0404      0.0224      0.0331      0.0106      0.0207      0.0150      0.0196      0.0076      0.0125      0.0099      0.0121      0.0047      0.0076      0.0060      0.0070
    1635.978     -7.6441      0.0000      0.0000      0.0000      0.0929      0.0000      1.1533     -0.1430      0.0370     -0.7048      0.0936     -0.4389      0.0057      0.0051      0.0103      0.0401     -0.0105      0.0046      0.0068     -0.0168      0.0013     -0.0051      0.0131      0.0086      0.0414      0.0000      0.0000      0.0000      0.0247      0.0000      0.0435      0.0932      0.0144      0.0402      0.0220      0.0327      0.0103      0.0209      0.0148      0.0194      0.0073      0.0125      0.0096      0.0119      0.0046      0.0080      0.0059      0.0069
    1646.896     -6.7012      0.0000      0.0000      0.0000      0.0959      0.0000      1.1584     -0.0417      0.0477     -0.6253      0.1186     -0.4328      0.0064     -0.0176     -0.0007      0.0152     -0.0022     -0.0030      0.0062     -0.0225     -0.0006     -0.0056      0.0127      0.0094      0.0460      0.0000      0.0000      0.0000      0.0262      0.0000      0.0466      0.0927      0.0155      0.0415      0.0234      0.0333      0.0109      0.0219      0.0155      0.0198      0.0078      0.0134      0.0102      0.0124      0.0052      0.0085      0.0062      0.0074
    1657.629     -5.9420      0.0000      0.0000      0.0000      0.0883      0.0000      1.1491      0.0982      0.0544     -0.5302      0.1453     -0.4132      0.0060     -0.0488      0.0047      0.0158      0.0038     -0.0069      0.0071     -0.0244      0.0037     -0.0054      0.0147      0.0032      0.0484      0.0000      0.0000      0.0000      0.0263      0.0000      0.0464      0.0909      0.0160      0.0418      0.0235      0.0329      0.0116      0.0222      0.0159      0.0198      0.0082      0.0138      0.0110      0.0129      0.0056      0.0084      0.0066      0.0079
    1671.271     -5.3276      0.0000      0.0000      0.0000      0.0571      0.0000      1.1212      0.3498      0.0548     -0.4193      0.1851     -0.3840      0.0095     -0.1050      0.0244     -0.0028      0.0012     -0.0147      0.0068     -0.0155      0.0046     -0.0096      0.0138      0.0063      0.0472      0.0000      0.0000      0.0000      0.0256      0.0000      0.0472      0.0907      0.0149      0.0418      0.0227      0.0337      0.0113      0.0221      0.0154      0.0203      0.0076      0.0133      0.0104      0.0125      0.0057      0.0084      0.0066      0.0080
    1691.639     -5.1426      0.0000      0.0000      0.0000     -0.0448      0.0000      1.0714      0.8241      0.0462     -0.3641      0.2390     -0.3258      0.0123     -0.1970      0.0617     -0.0431     -0.0093     -0.0197      0.0203      0.0031      0.0035     -0.0069      0.0078      0.0028      0.0533      0.0000      0.0000      0.0000      0.0273      0.0000      0.0480      0.0907      0.0166      0.0439      0.0233      0.0329      0.0117      0.0212      0.0149      0.0190      0.0076      0.0129      0.0099      0.0122      0.0055      0.0086      0.0066      0.0075
    1711.271     -5.2889      0.0000      0.0000      0.0000     -0.0987      0.0000      1.0184      1.2006      0.0328     -0.4012      0.2749     -0.2717      0.0193     -0.2691      0.1047     -0.0594     -0.0164     -0.0220      0.0272      0.0156      0.0007     -0.0037      0.0157      0.0047      0.0525      0.0000      0.0000      0.0000      0.0261      0.0000      0.0472      0.0886      0.0160      0.0438      0.0227      0.0326      0.0114      0.0210      0.0148      0.0183      0.0077      0.0131      0.0104      0.0120      0.0056      0.0086      0.0066      0.0075
    1730.083     -5.1654      0.0000      0.0000      0.0000     -0.1248      0.0000      0.9130      1.3571      0.0391     -0.4983      0.3040     -0.2494      0.0218     -0.2944      0.1203     -0.0453     -0.0092     -0.0305      0.0233      0.0243     -0.0021     -0.0083      0.0195      0.0125      0.0537      0.0000      0.0000      0.0000      0.0267      0.0000      0.0472      0.0907      0.0175      0.0464      0.0218      0.0355      0.0133      0.0239      0.0148      0.0200      0.0095      0.0143      0.0106      0.0123      0.0067      0.0091      0.0068      0.0082
    1748.157     -4.8316      0.0000      0.0000      0.0000     -0.1300      0.0000      0.8155      1.3336      0.0593     -0.6329      0.3281     -0.2455      0.0162     -0.2961      0.1307     -0.0181      0.0069     -0.0441      0.0129      0.0228     -0.0083     -0.0042      0.0159      0.0073      0.0742      0.0000      0.0000      0.0000      0.0328      0.0000      0.0465      0.1061      0.0203      0.0523      0.0227      0.0436      0.0123      0.0247      0.0156      0.0229      0.0079      0.0147      0.0113      0.0131      0.0055      0.0098      0.0072      0.0081
    1765.408     -4.5458      0.0000      0.0000      0.0000     -0.1153      0.0000      0.7588      1.1961      0.0696     -0.7671      0.3373     -0.2064      0.0124     -0.3207      0.1420      0.0265      0.0070     -0.0547      0.0067      0.0290     -0.0126     -0.0045      0.0081      0.0028      0.0617      0.0000      0.0000      0.0000      0.0337      0.0000      0.0530      0.1006      0.0241      0.0573      0.0290      0.0408      0.0175      0.0283      0.0195      0.0220      0.0102      0.0141      0.0128      0.0132      0.0070      0.0082      0.0085      0.0093
    1781.861     -4.2896      0.0000      0.0000      0.0000     -0.1346      0.0000      0.7214      1.0980      0.0828     -0.8770      0.3605     -0.1756      0.0103     -0.3548      0.1657      0.0682      0.0058     -0.0602      0.0073      0.0332     -0.0180     -0.0066     -0.0007      0.0038      0.1173      0.0000      0.0000      0.0000      0.0346      0.0000      0.0583      0.1730      0.0187      0.0940      0.0275      0.0725      0.0119      0.0488      0.0158      0.0343      0.0084      0.0246      0.0120      0.0178      0.0058      0.0120      0.0067      0.0100
    1801.447     -3.9684      0.0000      0.0000      0.0000     -0.1478      0.0000      0.6992      1.0655      0.0817     -0.8484      0.3824     -0.2341      0.0175     -0.4250      0.1916      0.1450     -0.0083     -0.0364      0.0085      0.0212     -0.0150     -0.0181     -0.0106      0.0112      0.1724      0.0000      0.0000      0.0000      0.0606      0.0000      0.0793      0.2205      0.0263      0.1125      0.0356      0.0874      0.0142      0.0569      0.0177      0.0427      0.0084      0.0269      0.0101      0.0184      0.0065      0.0133      0.0075      0.0085
    1829.818     -3.3926      0.0000      0.0000      0.0000     -0.2247      0.0000      0.6413      0.8957      0.0919     -0.7805      0.3739     -0.1978      0.0287     -0.4648      0.2253      0.1550     -0.0104     -0.0068      0.0075      0.0349      0.0015     -0.0445     -0.0194      0.0194      0.1881      0.0000      0.0000      0.0000      0.0672      0.0000      0.0834      0.2593      0.0294      0.1516      0.0475      0.1002      0.0141      0.0728      0.0271      0.0449      0.0085      0.0340      0.0147      0.0218      0.0065      0.0142      0.0080      0.0104
    1840.096     -3.2457      0.0000      0.0000      0.0000     -0.2559      0.0000      0.5961      0.8608      0.0923     -0.7324      0.3923     -0.1913      0.0305     -0.4918      0.2217      0.1608     -0.0050      0.0067      0.0164      0.0410      0.0038     -0.0551     -0.0257      0.0256      0.1335      0.0000      0.0000      0.0000      0.0477      0.0000      0.0592      0.1843      0.0209      0.1075      0.0337      0.0711      0.0100      0.0517      0.0192      0.0319      0.0061      0.0241      0.0105      0.0154      0.0046      0.0101      0.0057      0.0074
