   W           E          ReE0+           ImE0+           ReE0-           ImE0-           ReM0+           ImM0+           ReM0-           ImM0-           ReE1+           ImE1+           ReE1-           ImE1-           ReM1+           ImM1+           ReM1-           ImM1-           ReE2+           ImE2+           ReE2-           ImE2-           ReM2+           ImM2+           ReM2-           ImM2-           ReE3+           ImE3+           ReE3-           ImE3-           ReM3+           ImM3+           ReM3-           ImM3-           ReE4+           ImE4+           ReE4-           ImE4-           ReM4+           ImM4+           ReM4-           ImM4-           ReE5+           ImE5+           ReE5-           ImE5-           ReM5+           ImM5+           ReM5-           ImM5-                
  1540.000   794.677    0.358260E+01   -0.164636E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.487303E+00   -0.348788E-01    0.000000E+00    0.000000E+00   -0.919402E+00   -0.104048E+00   -0.436603E+01   -0.106337E+01    0.475254E-01    0.782747E-02   -0.100141E+00   -0.704790E+00    0.129192E+00    0.291447E-01    0.271274E+00   -0.339428E+00    0.166688E-01   -0.271762E-03    0.841594E-01   -0.818044E-03   -0.469187E-01    0.116772E-02   -0.193492E-01    0.126747E-04    0.209195E-01    0.167976E-02   -0.244025E-01   -0.157018E-03    0.286863E-01    0.452813E-04   -0.111833E-01    0.270031E-05    0.000000E+00    0.000000E+00    0.220801E-02    0.264789E-05    0.000000E+00    0.000000E+00    0.151611E-01    0.281904E-06
  1545.000   802.896    0.446776E+01   -0.155676E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.481362E+00   -0.371880E-01    0.000000E+00    0.000000E+00   -0.905693E+00   -0.105762E+00   -0.435161E+01   -0.116191E+01    0.455203E-01    0.870522E-02   -0.104315E+00   -0.737225E+00    0.140728E+00    0.344825E-01    0.297785E+00   -0.344507E+00    0.179867E-01   -0.323454E-03    0.926965E-01   -0.990174E-03   -0.517317E-01    0.141463E-02   -0.210027E-01    0.930625E-05    0.227728E-01    0.204895E-02   -0.278205E-01   -0.191780E-03    0.328990E-01    0.609619E-04   -0.130441E-01    0.299398E-05    0.000000E+00    0.000000E+00    0.265131E-02    0.348851E-05    0.000000E+00    0.000000E+00    0.167362E-01    0.382859E-06
  1550.000   811.143    0.511490E+01   -0.146954E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.473515E+00   -0.399250E-01    0.000000E+00    0.000000E+00   -0.893371E+00   -0.107115E+00   -0.430600E+01   -0.125666E+01    0.429668E-01    0.959824E-02   -0.112356E+00   -0.766554E+00    0.152253E+00    0.404847E-01    0.320433E+00   -0.346161E+00    0.191803E-01   -0.379248E-03    0.100925E+00   -0.119044E-02   -0.564007E-01    0.169049E-02   -0.225674E-01    0.202271E-06    0.244198E-01    0.245456E-02   -0.312514E-01   -0.230984E-03    0.371675E-01    0.807693E-04   -0.149898E-01    0.326320E-05    0.000000E+00    0.000000E+00    0.312560E-02    0.450075E-05    0.000000E+00    0.000000E+00    0.180985E-01    0.509427E-06
  1555.000   819.416    0.561335E+01   -0.138928E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.463993E+00   -0.432756E-01    0.000000E+00    0.000000E+00   -0.882731E+00   -0.108309E+00   -0.423513E+01   -0.134445E+01    0.399272E-01    0.104981E-01   -0.123972E+00   -0.793797E+00    0.163765E+00    0.472209E-01    0.339198E+00   -0.345260E+00    0.202451E-01   -0.438838E-03    0.108791E+00   -0.142483E-02   -0.609045E-01    0.199622E-02   -0.240485E-01   -0.176756E-04    0.258545E-01    0.289268E-02   -0.346663E-01   -0.274872E-03    0.414549E-01    0.105460E-03   -0.170090E-01    0.350250E-05    0.000000E+00    0.000000E+00    0.362759E-02    0.570238E-05    0.000000E+00    0.000000E+00    0.192213E-01    0.665934E-06
  1560.000   827.716    0.602045E+01   -0.131407E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.452968E+00   -0.472627E-01    0.000000E+00    0.000000E+00   -0.873895E+00   -0.109248E+00   -0.414375E+01   -0.142578E+01    0.364505E-01    0.113936E-01   -0.138701E+00   -0.819705E+00    0.175253E+00    0.547677E-01    0.354235E+00   -0.342524E+00    0.211786E-01   -0.501854E-03    0.116247E+00   -0.170113E-02   -0.652256E-01    0.233257E-02   -0.254547E-01   -0.484443E-04    0.270776E-01    0.335764E-02   -0.380394E-01   -0.323673E-03    0.457278E-01    0.135850E-03   -0.190904E-01    0.370677E-05    0.000000E+00    0.000000E+00    0.415394E-02    0.711088E-05    0.000000E+00    0.000000E+00    0.200869E-01    0.857117E-06
  1565.000   836.042    0.635034E+01   -0.124146E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.440657E+00   -0.518432E-01    0.000000E+00    0.000000E+00   -0.867018E+00   -0.109723E+00   -0.403375E+01   -0.150180E+01    0.325736E-01    0.122698E-01   -0.156016E+00   -0.844791E+00    0.186690E+00    0.632078E-01    0.365799E+00   -0.338528E+00    0.219799E-01   -0.567860E-03    0.123246E+00   -0.202949E-02   -0.693502E-01    0.270012E-02   -0.267974E-01   -0.976399E-04    0.280945E-01    0.384195E-02   -0.413481E-01   -0.377601E-03    0.499555E-01    0.172798E-03   -0.212233E-01    0.387119E-05    0.000000E+00    0.000000E+00    0.470131E-02    0.874320E-05    0.000000E+00    0.000000E+00    0.206850E-01    0.108812E-05
  1570.000   844.396    0.660053E+01   -0.117078E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.427310E+00   -0.569971E-01    0.000000E+00    0.000000E+00   -0.862280E+00   -0.109571E+00   -0.390546E+01   -0.157231E+01    0.283232E-01    0.131070E-01   -0.175392E+00   -0.869385E+00    0.198032E+00    0.726282E-01    0.374196E+00   -0.333721E+00    0.226494E-01   -0.636364E-03    0.129746E+00   -0.242311E-02   -0.732671E-01    0.309926E-02   -0.280910E-01   -0.172668E-03    0.289144E-01    0.433637E-02   -0.445723E-01   -0.436846E-03    0.541104E-01    0.217183E-03   -0.233971E-01    0.399120E-05    0.000000E+00    0.000000E+00    0.526637E-02    0.106154E-04    0.000000E+00    0.000000E+00    0.210122E-01    0.136447E-05
  1575.000   852.775    0.677195E+01   -0.110271E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.413154E+00   -0.627527E-01    0.000000E+00    0.000000E+00   -0.859813E+00   -0.108718E+00   -0.375937E+01   -0.163562E+01    0.237182E-01    0.138799E-01   -0.196336E+00   -0.893675E+00    0.209216E+00    0.831180E-01    0.379749E+00   -0.328439E+00    0.231887E-01   -0.706816E-03    0.135704E+00   -0.289928E-02   -0.769677E-01    0.353019E-02   -0.293527E-01   -0.283398E-03    0.295484E-01    0.483018E-02   -0.476948E-01   -0.501580E-03    0.581678E-01    0.269889E-03   -0.256019E-01    0.406248E-05    0.000000E+00    0.000000E+00    0.584583E-02    0.127426E-04    0.000000E+00    0.000000E+00    0.210707E-01    0.169209E-05
  1580.000   861.182    0.687331E+01   -0.103804E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.398364E+00   -0.691693E-01    0.000000E+00    0.000000E+00   -0.859654E+00   -0.107152E+00   -0.359689E+01   -0.168943E+01    0.187714E-01    0.145566E-01   -0.218402E+00   -0.917741E+00    0.220155E+00    0.947651E-01    0.382775E+00   -0.322934E+00    0.236002E-01   -0.778612E-03    0.141079E+00   -0.348060E-02   -0.804456E-01    0.399289E-02   -0.306024E-01   -0.442955E-03    0.300086E-01    0.531165E-02   -0.507004E-01   -0.571944E-03    0.621056E-01    0.331770E-03   -0.278278E-01    0.408087E-05    0.000000E+00    0.000000E+00    0.643649E-02    0.151384E-04    0.000000E+00    0.000000E+00    0.208679E-01    0.207728E-05
  1585.000   869.615    0.691706E+01   -0.977142E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.383052E+00   -0.763106E-01    0.000000E+00    0.000000E+00   -0.861750E+00   -0.104875E+00   -0.342038E+01   -0.173176E+01    0.134924E-01    0.150983E-01   -0.241203E+00   -0.941588E+00    0.230735E+00    0.107653E+00    0.383572E+00   -0.317386E+00    0.238870E-01   -0.851102E-03    0.145827E+00   -0.419668E-02   -0.836962E-01    0.448716E-02   -0.318628E-01   -0.668759E-03    0.303072E-01    0.576860E-02   -0.535763E-01   -0.648055E-03    0.659042E-01    0.403635E-03   -0.300655E-01    0.404242E-05    0.000000E+00    0.000000E+00    0.703522E-02    0.178149E-04    0.000000E+00    0.000000E+00    0.204151E-01    0.252665E-05
  1590.000   878.075    0.691489E+01   -0.919865E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   -0.367274E+00   -0.842284E-01    0.000000E+00    0.000000E+00   -0.865979E+00   -0.101874E+00   -0.323259E+01   -0.176125E+01    0.788968E-02    0.154587E-01   -0.264405E+00   -0.965169E+00    0.240815E+00    0.121854E+00    0.382414E+00   -0.311923E+00    0.240530E-01   -0.923596E-03    0.149909E+00   -0.508638E-02   -0.867168E-01    0.501257E-02   -0.331589E-01   -0.983900E-03    0.304557E-01    0.618918E-02   -0.563117E-01   -0.729998E-03    0.695468E-01    0.486224E-03   -0.323061E-01    0.394330E-05    0.000000E+00    0.000000E+00    0.763901E-02    0.207824E-04    0.000000E+00    0.000000E+00    0.197268E-01    0.304715E-05
