#############################################################################################################
# Bonn-Gatchina 2018 eta photoproduction solutions | DATABASE: www.data.pwatuzla.com
# Reaction: gama p --> eta p
# Published: Tiator, L., Gorchtein, M., Kashevarov, V.L. et al. Eur. Phys. J. A (2018) 54: 210. 
#############################################################################################################
   W             ReE0+                ImE0+              ReE0-               ImE0-               ReM0+               ImM0+               ReM0-               ImM0-               ReE1+               ImE1+               ReE1-              ImE1-                ReM1+               ImM1+               ReM1-               ImM1-               ReE2+               ImE2+               ReE2-              ImE2-                ReM2+               ImM2+               ReM2-               ImM2-                ReE3+              ImE3+               ReE3-               ImE3-               ReM3+               ImM3+               ReM3-               ImM3-               ReE4+               ImE4+              ReE4-                ImE4-                ReM4+               ImM4+              ReM4-               ImM4-               ReE5+               ImE5+               ReE5-               ImE5-               ReM5+               ImM5+               ReM5-               ImM5-               ReE6+               ImE6+               ReE6-               ImE6-               ReM6+               ImM6+               ReM6-               ImM6-               ReE7+               ImE7+               ReE7-               ImE7-               ReM7+               ImM7+               ReM7-               ImM7-                        
  1540.00      0.15083093E+01     -0.17187447E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.30615646E+00     -0.18328379E+00      0.00000000E+00      0.00000000E+00     -0.12221197E+01      0.11166711E+00     -0.91664521E+00     -0.45206265E+00     -0.13373431E-01     -0.20266524E-01      0.31558170E+00     -0.77630504E+00      0.60270054E-01      0.28501927E-01      0.12673347E+00     -0.45820603E+00     -0.18314767E-02     -0.37521386E-02     -0.11525453E-01     -0.71912016E-03     -0.10446633E-01     -0.19685160E-02     -0.14154883E-01     -0.97647276E-02     -0.12004051E-03     -0.61942571E-03     -0.10500918E-02     -0.13471161E-03      0.37757696E-03      0.12853220E-02     -0.13017595E-04     -0.12174317E-02     -0.31805238E-04     -0.82890386E-04      0.21549200E-04      0.21191296E-04      0.27857489E-03      0.24428066E-03      0.30564930E-03     -0.41631250E-03     -0.56174375E-05     -0.79826631E-05      0.25821568E-05     -0.20666922E-05      0.11889449E-03      0.34084071E-04      0.94870521E-04     -0.11923229E-03     -0.72809824E-06     -0.39350013E-06      0.37554021E-06     -0.15976343E-05      0.28953588E-04      0.45151438E-06      0.20954783E-04     -0.27690212E-04
  1545.00      0.23448212E+01     -0.16551242E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.31447813E+00     -0.19522689E+00      0.00000000E+00      0.00000000E+00     -0.12717854E+01      0.10663048E+00     -0.90959585E+00     -0.49554783E+00     -0.14796144E-01     -0.21619711E-01      0.36551686E+00     -0.77108111E+00      0.65222833E-01      0.32416917E-01      0.15116990E+00     -0.46578305E+00     -0.20828485E-02     -0.41873951E-02     -0.13479250E-01     -0.13270893E-02     -0.11821138E-01     -0.23918360E-02     -0.16439226E-01     -0.11296117E-01     -0.13524105E-03     -0.72956405E-03     -0.12604319E-02     -0.17933727E-03      0.38560988E-03      0.14817440E-02     -0.89065237E-04     -0.13896760E-02     -0.38516053E-04     -0.10339474E-03      0.25489319E-04      0.25657474E-04      0.32034926E-03      0.30045102E-03      0.35981636E-03     -0.49503948E-03     -0.73252828E-05     -0.10556805E-04      0.31824418E-05     -0.23807975E-05      0.14810715E-03      0.45373298E-04      0.11921739E-03     -0.14940693E-03     -0.95486772E-06     -0.66610144E-06      0.61007283E-06     -0.21839715E-05      0.38294027E-04      0.96286677E-06      0.27757981E-04     -0.36399784E-04
  1550.00      0.30726908E+01     -0.15882044E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.32164145E+00     -0.20733101E+00      0.00000000E+00      0.00000000E+00     -0.13182274E+01      0.10027931E+00     -0.89767504E+00     -0.53835599E+00     -0.16254501E-01     -0.22919170E-01      0.40779435E+00     -0.75794545E+00      0.70023961E-01      0.36585157E-01      0.17223853E+00     -0.46947080E+00     -0.23456784E-02     -0.46226086E-02     -0.15606407E-01     -0.20967488E-02     -0.13227503E-01     -0.28503808E-02     -0.18881592E-01     -0.12955871E-01     -0.15106570E-03     -0.84516163E-03     -0.14915455E-02     -0.23133701E-03      0.38250887E-03      0.16840539E-02     -0.18485752E-03     -0.15677539E-02     -0.45627852E-04     -0.12675688E-03      0.30424388E-04      0.29322017E-04      0.36214797E-03      0.36146791E-03      0.41569516E-03     -0.57776674E-03     -0.86899830E-05     -0.14509324E-04      0.41681777E-05     -0.31362292E-05      0.18068913E-03      0.58338594E-04      0.14548324E-03     -0.18210332E-03     -0.14136421E-05     -0.78950030E-06      0.36604292E-06     -0.21480203E-05      0.48525804E-04      0.25139001E-05      0.35950287E-04     -0.47121569E-04
  1555.00      0.37006473E+01     -0.15195280E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.32853575E+00     -0.21941289E+00      0.00000000E+00      0.00000000E+00     -0.13618811E+01      0.92658356E-01     -0.88059724E+00     -0.57896880E+00     -0.17753841E-01     -0.24165393E-01      0.44222455E+00     -0.73926257E+00      0.74652992E-01      0.41021733E-01      0.18979234E+00     -0.47041048E+00     -0.26201375E-02     -0.50560415E-02     -0.17912651E-01     -0.30551372E-02     -0.14655380E-01     -0.33453775E-02     -0.21481855E-01     -0.14755310E-01     -0.16514030E-03     -0.96861470E-03     -0.17419426E-02     -0.29337594E-03      0.36927051E-03      0.18881215E-02     -0.30521766E-03     -0.17470040E-02     -0.53346913E-04     -0.15268199E-03      0.34746596E-04      0.34235414E-04      0.40055781E-03      0.42924865E-03      0.47231889E-03     -0.66474957E-03     -0.10975035E-04     -0.18212831E-04      0.48449225E-05     -0.34026461E-05      0.21600880E-03      0.74330914E-04      0.17567627E-03     -0.21941964E-03     -0.17647485E-05     -0.12467946E-05      0.71526108E-06     -0.29297868E-05      0.61338801E-04      0.36723902E-05      0.45450135E-04     -0.59083013E-04
  1560.00      0.42385123E+01     -0.14502422E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.33435274E+00     -0.23169612E+00      0.00000000E+00      0.00000000E+00     -0.14027052E+01      0.83866052E-01     -0.85968542E+00     -0.61870932E+00     -0.19291158E-01     -0.25369605E-01      0.46909773E+00     -0.71701636E+00      0.79094340E-01      0.45731261E-01      0.20391773E+00     -0.46955254E+00     -0.29063753E-02     -0.54863040E-02     -0.20408553E-01     -0.42263462E-02     -0.16102369E-01     -0.38720312E-02     -0.24241873E-01     -0.16709591E-01     -0.17869234E-03     -0.10975040E-02     -0.20126342E-02     -0.36463058E-03      0.34497706E-03      0.20939399E-02     -0.44874909E-03     -0.19297108E-02     -0.61459455E-04     -0.18141389E-03      0.39437908E-04      0.38953371E-04      0.43625528E-03      0.50218533E-03      0.52905319E-03     -0.75477343E-03     -0.13370803E-04     -0.22816608E-04      0.56538161E-05     -0.37861185E-05      0.25413593E-03      0.92738301E-04      0.20831984E-03     -0.25981138E-03     -0.22380518E-05     -0.17558400E-05      0.96909946E-06     -0.35969251E-05      0.75747023E-04      0.54919742E-05      0.56430830E-04     -0.72902035E-04
  1565.00      0.46961958E+01     -0.13811655E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.33850166E+00     -0.24434443E+00      0.00000000E+00      0.00000000E+00     -0.14407255E+01      0.74020373E-01     -0.83577793E+00     -0.65860793E+00     -0.20866979E-01     -0.26538128E-01      0.48902473E+00     -0.69280260E+00      0.83327797E-01      0.50724039E-01      0.21486774E+00     -0.46768048E+00     -0.32046959E-02     -0.59121655E-02     -0.23102703E-01     -0.56412175E-02     -0.17563352E-01     -0.44280038E-02     -0.27162921E-01     -0.18835746E-01     -0.19132035E-03     -0.12316335E-02     -0.23034186E-02     -0.44586495E-03      0.30992856E-03      0.22997455E-02     -0.61663644E-03     -0.21152183E-02     -0.69923968E-04     -0.21294665E-03      0.44301489E-04      0.43618843E-04      0.46811505E-03      0.58021147E-03      0.58510655E-03     -0.84731170E-03     -0.16021454E-04     -0.28186763E-04      0.64992453E-05     -0.41741233E-05      0.29474836E-03      0.11384340E-03      0.24349677E-03     -0.30337621E-03     -0.28086148E-05     -0.23790523E-05      0.12462823E-05     -0.43040552E-05      0.91969207E-04      0.78936305E-05      0.68945057E-04     -0.88547042E-04
  1570.00      0.50826638E+01     -0.13128160E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.34120675E+00     -0.25730553E+00      0.00000000E+00      0.00000000E+00     -0.14760649E+01      0.63166276E-01     -0.80879915E+00     -0.69822872E+00     -0.22480689E-01     -0.27678393E-01      0.50270089E+00     -0.66784058E+00      0.87328817E-01      0.56009297E-01      0.22297097E+00     -0.46539902E+00     -0.35153914E-02     -0.63326563E-02     -0.26002792E-01     -0.73357594E-02     -0.19033946E-01     -0.50106591E-02     -0.30245685E-01     -0.21154122E-01     -0.20285522E-03     -0.13705167E-02     -0.26142081E-02     -0.53759406E-03      0.26447037E-03      0.25041040E-02     -0.80951537E-03     -0.23034122E-02     -0.78677966E-04     -0.24728242E-03      0.49292960E-04      0.48169348E-04      0.49530892E-03      0.66301353E-03      0.63974184E-03     -0.94178543E-03     -0.18939875E-04     -0.34357485E-04      0.73587599E-05     -0.45541627E-05      0.33754456E-03      0.13778680E-03      0.28104886E-03     -0.34996400E-03     -0.34841380E-05     -0.31338103E-05      0.15568206E-05     -0.50593536E-05      0.11003828E-03      0.10953910E-04      0.83044727E-04     -0.10605608E-03
  1575.00      0.54062498E+01     -0.12455162E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.34377933E+00     -0.27023238E+00      0.00000000E+00      0.00000000E+00     -0.15092791E+01      0.51291262E-01     -0.77764000E+00     -0.73536503E+00     -0.24131654E-01     -0.28797424E-01      0.51093265E+00     -0.64303218E+00      0.91070867E-01      0.61597208E-01      0.22860588E+00     -0.46315685E+00     -0.38389057E-02     -0.67468805E-02     -0.29115539E-01     -0.93513412E-02     -0.20510404E-01     -0.56171484E-02     -0.33490417E-01     -0.23688519E-01     -0.21311597E-03     -0.15137267E-02     -0.29448218E-02     -0.64040427E-03      0.20921014E-03      0.27055957E-02     -0.10279263E-02     -0.24942239E-02     -0.87602374E-04     -0.28448257E-03      0.54382069E-04      0.52527573E-04      0.51705678E-03      0.75022771E-03      0.69214235E-03     -0.10375637E-02     -0.22153773E-04     -0.41338556E-04      0.81591444E-05     -0.48513731E-05      0.38211712E-03      0.16476935E-03      0.32080845E-03     -0.39945584E-03     -0.43102300E-05     -0.39880414E-05      0.18998431E-05     -0.58568650E-05      0.12997075E-03      0.14776189E-04      0.98842315E-04     -0.12551981E-03
  1580.00      0.56740230E+01     -0.11793996E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.34552717E+00     -0.28331687E+00      0.00000000E+00      0.00000000E+00     -0.15400058E+01      0.38508483E-01     -0.74378189E+00     -0.77119154E+00     -0.25814782E-01     -0.29907622E-01      0.51448962E+00     -0.61903332E+00      0.94529633E-01      0.67488705E-01      0.23213901E+00     -0.46126899E+00     -0.41735521E-02     -0.71569800E-02     -0.32446341E-01     -0.11734643E-01     -0.21992388E-01     -0.62437012E-02     -0.36900937E-01     -0.26463324E-01     -0.22332040E-03     -0.16589920E-02     -0.32973425E-02     -0.75173852E-03      0.14126362E-03      0.29067542E-02     -0.12702960E-02     -0.26911966E-02     -0.97921824E-04     -0.32279347E-03      0.59672331E-04      0.56442403E-04      0.53357773E-03      0.84166539E-03      0.74436665E-03     -0.11363411E-02     -0.25085477E-04     -0.49942519E-04      0.10186351E-04     -0.68279362E-05      0.43029976E-03      0.19273503E-03      0.36195195E-03     -0.45013825E-03     -0.43780823E-05     -0.61899807E-05      0.24265062E-05     -0.68991900E-05      0.15155983E-03      0.18944925E-04      0.11455919E-03     -0.14533205E-03
  1585.00      0.58919384E+01     -0.11144826E+02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.34642749E+00     -0.29655587E+00      0.00000000E+00      0.00000000E+00     -0.15683899E+01      0.24908911E-01     -0.70722915E+00     -0.80573003E+00     -0.27537299E-01     -0.31004326E-01      0.51408249E+00     -0.59628267E+00      0.97651128E-01      0.73712092E-01      0.23394525E+00     -0.45998582E+00     -0.45247027E-02     -0.75558618E-02     -0.35993207E-01     -0.14545305E-01     -0.23469805E-01     -0.68897531E-02     -0.40462755E-01     -0.29518802E-01     -0.23014031E-03     -0.18101567E-02     -0.36662498E-02     -0.87929497E-03      0.69836973E-04      0.30974740E-02     -0.15414018E-02     -0.28864145E-02     -0.10643896E-03     -0.36637897E-03      0.64829371E-04      0.60233987E-04      0.54207812E-03      0.93643310E-03      0.78916547E-03     -0.12323102E-02     -0.29128163E-04     -0.58339582E-04      0.10259282E-04     -0.62158304E-05      0.47648143E-03      0.22696312E-03      0.40571455E-03     -0.50546657E-03     -0.59218814E-05     -0.67712921E-05      0.27752518E-05     -0.76875084E-05      0.17523834E-03      0.24769470E-04      0.13458712E-03     -0.16942033E-03
