   W        ReE0+      ImE0+      ReE0-      ImE0-      ReM0+      ImM0+      ReM0-      ImM0-      ReE1+      ImE1+      ReE1-      ImE1-      ReM1+      ImM1+      ReM1-      ImM1-      ReE2+      ImE2+      ReE2-      ImE2-      ReM2+      ImM2+      ReM2-      ImM2-      ReE3+      ImE3+      ReE3-      ImE3-      ReM3+      ImM3+       ReM3-      ImM3-     ReE4+      ImE4+      ReE4-      ImE4-      ReM4+      ImM4+      ReM4-      ImM4-                                    
1750.0    4.17229   -1.52756    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.51293   -0.41414    0.00000    0.00000   -0.92527   -0.62703   -1.15797   -1.82028    0.06437   -0.01042    0.85025    0.05317    0.09195    0.31703    0.31688   -0.14119    0.01507   -0.00599    0.21520   -0.27417    0.01816    0.00784    0.24051   -0.11262    0.00000    0.00000   -0.00301   -0.00032    0.00000    0.00000    0.00200   -0.00050
1770.0    4.10126   -1.12243    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.54275   -0.26275    0.00000    0.00000   -0.87138   -0.62391   -1.14669   -1.93583    0.08612    0.00010    0.83614    0.12080    0.06340    0.31598    0.31716   -0.12135    0.01599   -0.00783    0.23031   -0.27071    0.02023    0.01053    0.24960   -0.09748    0.00000    0.00000   -0.00365   -0.00052    0.00000    0.00000    0.00210   -0.00081
1790.0    3.97011   -0.71963    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.54814   -0.13324    0.00000    0.00000   -0.80127   -0.63997   -1.08018   -2.05367    0.10029    0.01824    0.82236    0.18413    0.03954    0.31032    0.31834   -0.09800    0.01711   -0.00981    0.24556   -0.26576    0.02208    0.01337    0.25651   -0.08449    0.00000    0.00000   -0.00425   -0.00091    0.00000    0.00000    0.00228   -0.00126
1810.0    3.78669   -0.33705    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.53179   -0.01868    0.00000    0.00000   -0.70644   -0.65912   -0.96695   -2.15313    0.10507    0.04041    0.80736    0.24578    0.02161    0.30095    0.31921   -0.07067    0.01840   -0.01161    0.25997   -0.25551    0.02375    0.01616    0.26258   -0.07136    0.00000    0.00000   -0.00503   -0.00138    0.00000    0.00000    0.00237   -0.00191
1830.0    3.55747    0.01294    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.49358    0.07998    0.00000    0.00000   -0.58586   -0.66394   -0.82034   -2.22042    0.10053    0.06318    0.79024    0.30716    0.01059    0.28909    0.31856   -0.03951    0.01993   -0.01287    0.27157   -0.23776    0.02516    0.01824    0.26827   -0.05646    0.00000    0.00000   -0.00576   -0.00202    0.00000    0.00000    0.00260   -0.00283
1850.0    3.28959    0.32017    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.43658    0.15744    0.00000    0.00000   -0.44907   -0.63897   -0.65503   -2.24811    0.08755    0.08399    0.76856    0.36880    0.00609    0.27675    0.31436   -0.00450    0.02147   -0.01284    0.27794   -0.21173    0.02669    0.01873    0.27369   -0.03876    0.00000    0.00000   -0.00655   -0.00290    0.00000    0.00000    0.00283   -0.00384
1870.0    2.99191    0.57582    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.36903    0.20862    0.00000    0.00000   -0.31321   -0.57671   -0.48582   -2.23542    0.06773    0.10063    0.74081    0.43074    0.00724    0.26562    0.30517    0.03374    0.02237   -0.01076    0.27700   -0.17902    0.02916    0.01673    0.27886   -0.01737    0.00000    0.00000   -0.00731   -0.00393    0.00000    0.00000    0.00319   -0.00510
1890.0    2.67617    0.77387    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.30220    0.23325    0.00000    0.00000   -0.19576   -0.48099   -0.32569   -2.18622    0.04277    0.11162    0.70475    0.49193    0.01288    0.25699    0.28869    0.07400    0.02144   -0.00616    0.26760   -0.14169    0.03447    0.01134    0.28378    0.00813    0.00000    0.00000   -0.00804   -0.00518    0.00000    0.00000    0.00374   -0.00657
1910.0    2.35586    0.91240    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.24536    0.23721    0.00000    0.00000   -0.10758   -0.36445   -0.18436   -2.10755    0.01476    0.11578    0.65917    0.54988    0.02161    0.25190    0.26326    0.11397    0.01677    0.00054    0.25005   -0.10224    0.04514    0.00349    0.28831    0.03824    0.00000    0.00000   -0.00873   -0.00672    0.00000    0.00000    0.00446   -0.00825
1930.0    2.04433    0.99349    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.20252    0.22898    0.00000    0.00000   -0.04960   -0.24047   -0.06739   -2.00896   -0.01410    0.11227    0.60380    0.60129    0.03190    0.25121    0.22813    0.15068    0.00702    0.00748    0.22535   -0.06295    0.06314   -0.00410    0.29230    0.07314    0.00000    0.00000   -0.00931   -0.00846    0.00000    0.00000    0.00543   -0.01006
1950.0    1.75328    1.02389    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.17323    0.21618    0.00000    0.00000   -0.01619   -0.11846    0.02316   -1.89960   -0.04183    0.10082    0.54002    0.64249    0.04212    0.25510    0.18376    0.18009   -0.00752    0.01225    0.19535   -0.02508    0.08827   -0.00803    0.29526    0.11295    0.00000    0.00000   -0.00971   -0.01046    0.00000    0.00000    0.00668   -0.01199
1970.0    1.49085    1.01271    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.15408    0.20394    0.00000    0.00000   -0.00020   -0.00261    0.08996   -1.78805   -0.06600    0.08149    0.47111    0.67052    0.05090    0.26376    0.13252    0.19907   -0.02559    0.01302    0.16116    0.01067    0.11838   -0.00549    0.29669    0.15798    0.00000    0.00000   -0.00992   -0.01271    0.00000    0.00000    0.00832   -0.01403
1990.0    1.26186    0.97066    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.14164    0.19461    0.00000    0.00000    0.00315    0.10730    0.13644   -1.68064   -0.08456    0.05490    0.40165    0.68458    0.05650    0.27634    0.07844    0.20518   -0.04564    0.00909    0.12379    0.04422    0.15152    0.00482    0.29572    0.20818    0.00000    0.00000   -0.00981   -0.01511    0.00000    0.00000    0.01040   -0.01613
