  ###################################################################################################
  # Eta photoproduction Single Energy Solution 3 - Imaginary Part
  # Reaction: gamma p --> eta p
  # Publication: Unpublished
  # Database: data.pwatuzla.com
  ###################################################################################################     
       W           E0+            E0-            M0+            M0-            E1+            E1-            M1+            M1-            E2+            E2-            M2+            M2-            E3+            E3-            M3+            M3-            E4+            E4-            M4+             M4-           E5+            E5-            M5+            M5-            ErrE0+         ErrE0-         ErrM0+         ErrM0-         ErrE1+          ErrE1-        ErrM1+          ErrM1-        ErrE2+         ErrE2-         ErrM2+         ErrM2-         ErrE3+          ErrE3-        ErrM3+         ErrM3-         ErrE4+         ErrE4-         ErrM4+         ErrM4-         ErrE5+         ErrE5-         ErrM5+         ErrM5- 
    1613.572    -2.25185651     0.00000000     0.00000000     0.00000000     0.48433157     0.00000000     1.22612249     0.21789748    -0.04839715    -0.42258350    -0.02866196    -0.35078244     0.00411742     0.15475637     0.00256191     0.15510475    -0.00697601     0.05103773    -0.01259741     0.01526870     0.00420726     0.00002377    -0.00175752     0.00815958     0.07190293     0.00000000     0.00000000     0.00000000     0.02987688     0.00000000     0.03436621     0.07116683     0.01698713     0.04295402     0.01863902     0.02862213     0.01101864     0.02041355     0.01169501     0.01613120     0.00759286     0.01256059     0.00792327     0.01051960     0.00548085     0.00857784     0.00571814     0.00676104
    1624.871    -2.57522344     0.00000000     0.00000000     0.00000000     0.50756093     0.00000000     1.23378689     0.04636939    -0.04532739    -0.43553901    -0.03452491    -0.37885072     0.00294979     0.16934587    -0.00615928     0.17144792    -0.00714733     0.05402916    -0.01055462     0.01089013     0.00793159     0.00124365    -0.00186342     0.00667605     0.06854329     0.00000000     0.00000000     0.00000000     0.02822759     0.00000000     0.03293524     0.06821858     0.01620110     0.04170492     0.01802490     0.02755819     0.01040026     0.01973929     0.01114989     0.01531525     0.00724906     0.01223726     0.00752934     0.00997929     0.00508892     0.00822505     0.00531773     0.00621456
    1635.978    -2.57525986     0.00000000     0.00000000     0.00000000     0.51580206     0.00000000     1.28901808    -0.15835181    -0.04738423    -0.46358230    -0.04415435    -0.36313041     0.00680689     0.19900853    -0.01344105     0.17061461    -0.00987032     0.05075205    -0.01401821     0.01254142     0.00855608     0.00579497    -0.00273137     0.01022961     0.06538170     0.00000000     0.00000000     0.00000000     0.02674601     0.00000000     0.03153458     0.06509653     0.01530999     0.04022815     0.01735661     0.02624710     0.00978382     0.01900984     0.01072529     0.01444841     0.00690666     0.01192675     0.00721191     0.00942593     0.00473664     0.00785596     0.00499212     0.00559798
    1646.896    -2.32357846     0.00000000     0.00000000     0.00000000     0.49500545     0.00000000     1.32181295    -0.33242406    -0.04191191    -0.48212871    -0.04104911    -0.33132170     0.00470165     0.22959121    -0.02608093     0.16135241    -0.00781994     0.04462092    -0.01799576     0.01235285     0.00642434     0.00713419    -0.00465980     0.01073548     0.06190257     0.00000000     0.00000000     0.00000000     0.02570226     0.00000000     0.03187518     0.06227807     0.01480390     0.03895292     0.01724178     0.02508625     0.00953778     0.01853246     0.01065547     0.01386273     0.00671928     0.01158527     0.00709617     0.00899573     0.00460563     0.00771986     0.00486944     0.00535313
    1657.629    -1.94640823     0.00000000     0.00000000     0.00000000     0.48818502     0.00000000     1.34120939    -0.48990339    -0.02619193    -0.48751340    -0.02860208    -0.30544233     0.00391599     0.25633278    -0.03547871     0.14915110    -0.00325846     0.03936256    -0.02079083     0.01060804     0.00924924     0.00764824     0.00037610     0.00270005     0.05716233     0.00000000     0.00000000     0.00000000     0.02359003     0.00000000     0.02969864     0.05779354     0.01371933     0.03690705     0.01610212     0.02331995     0.00900115     0.01748031     0.00992669     0.01292947     0.00644453     0.01093610     0.00663914     0.00839691     0.00431911     0.00729960     0.00457893     0.00491973
    1671.271    -1.48879801     0.00000000     0.00000000     0.00000000     0.46642274     0.00000000     1.31404962    -0.55258051    -0.01196751    -0.48514411     0.00387598    -0.27086971    -0.00435126     0.24831069    -0.04312494     0.14649719     0.00072372     0.03697714    -0.02945579     0.01297359     0.00668744    -0.00205569    -0.00444752     0.01206917     0.05810139     0.00000000     0.00000000     0.00000000     0.02447512     0.00000000     0.03093436     0.05781536     0.01433844     0.03621194     0.01649345     0.02377920     0.00937324     0.01717662     0.01053281     0.01326933     0.00675283     0.01071548     0.00684538     0.00855351     0.00433401     0.00714359     0.00439434     0.00449864
    1691.639    -0.99564847     0.00000000     0.00000000     0.00000000     0.44328734     0.00000000     1.37418464    -0.65169332     0.00727062    -0.44745913     0.09658318    -0.26637252    -0.00393517     0.21874487    -0.03937743     0.12524140     0.00298073     0.04952590    -0.03573082     0.01980662     0.01041972    -0.00496688    -0.01040825     0.00826950     0.05207119     0.00000000     0.00000000     0.00000000     0.02172457     0.00000000     0.02919736     0.05317029     0.01270463     0.03444982     0.01541531     0.02157130     0.00843613     0.01627949     0.00966880     0.01224098     0.00615825     0.01015541     0.00640878     0.00785827     0.00400710     0.00687462     0.00440321     0.00442682
    1711.271    -0.87213598     0.00000000     0.00000000     0.00000000     0.39208960     0.00000000     1.42647502    -0.69666221     0.00921195    -0.44686282     0.17593656    -0.29882070    -0.00970249     0.16817253    -0.03328331     0.10495824     0.00214159     0.06188022    -0.03909847     0.03410656     0.00910714    -0.00898537    -0.01787053     0.01155240     0.05197749     0.00000000     0.00000000     0.00000000     0.02233623     0.00000000     0.02957446     0.05327335     0.01307965     0.03392990     0.01539906     0.02166488     0.00875455     0.01638477     0.00974445     0.01260491     0.00627738     0.01013347     0.00642820     0.00811180     0.00418169     0.00709387     0.00458237     0.00492899
    1730.083    -0.91606014     0.00000000     0.00000000     0.00000000     0.31574441     0.00000000     1.37270563    -0.68552462     0.00693478    -0.45933568     0.23104150    -0.37082318    -0.01388363     0.12341311    -0.02579016     0.08738838    -0.00643587     0.07099708    -0.03553531     0.04293856     0.00697798    -0.00831126    -0.01302170     0.01710761     0.05785409     0.00000000     0.00000000     0.00000000     0.02477528     0.00000000     0.03157305     0.06094829     0.01429749     0.03569762     0.01645630     0.02571582     0.00914861     0.01826337     0.01039835     0.01542470     0.00625185     0.01083588     0.00666607     0.00943989     0.00432497     0.00777845     0.00483931     0.00587141
    1748.157    -1.01154343     0.00000000     0.00000000     0.00000000     0.25667004     0.00000000     1.30239424    -0.68819155     0.00095055    -0.49795816     0.25441052    -0.45195119    -0.01223563     0.09903930    -0.01378703     0.08493191    -0.01206862     0.07482412    -0.03396655     0.04501066     0.00537776    -0.00844861    -0.00480852     0.01774462     0.06903851     0.00000000     0.00000000     0.00000000     0.03279674     0.00000000     0.03811949     0.09307701     0.01423047     0.04391734     0.01679973     0.03640256     0.01033351     0.02666580     0.01230615     0.02362247     0.00605391     0.01433085     0.00640546     0.01208331     0.00498154     0.01061185     0.00507969     0.00729244
    1765.408    -1.06851368     0.00000000     0.00000000     0.00000000     0.18181256     0.00000000     1.23197022    -0.66889449     0.00658960    -0.54528747     0.26981007    -0.54267970    -0.01900351     0.06849035    -0.01244111     0.11409215    -0.01159426     0.08877226    -0.02993234     0.03629104    -0.00215793    -0.01132024    -0.00461633     0.02448162     0.06500594     0.00000000     0.00000000     0.00000000     0.02208588     0.00000000     0.02951753     0.06633731     0.01378297     0.04005750     0.01773857     0.03623868     0.01032675     0.02049830     0.01417212     0.01774487     0.00647602     0.01247613     0.00844585     0.01114488     0.00661625     0.00876066     0.00633244     0.00511474
    1781.861    -1.06729083     0.00000000     0.00000000     0.00000000     0.11408112     0.00000000     1.19088109    -0.68605526     0.02025132    -0.59694585     0.28569224    -0.62052958    -0.02500291     0.04569899    -0.00548434     0.14098837    -0.00671564     0.10397854    -0.03244303     0.03309352    -0.01048710    -0.00755363    -0.00723115     0.02489658     0.06439982     0.00000000     0.00000000     0.00000000     0.02711378     0.00000000     0.03596835     0.06749801     0.01700345     0.05019363     0.01734602     0.02523515     0.01098985     0.03402847     0.01134665     0.01257561     0.00735306     0.01949433     0.00659301     0.00708913     0.00559224     0.01294296     0.00471865     0.00598450
    1801.447    -1.02398157     0.00000000     0.00000000     0.00000000     0.10108579     0.00000000     1.21020796    -0.83173573     0.03445758    -0.67716519     0.28482799    -0.71034849    -0.00369082     0.05356497     0.02561685     0.15821089    -0.00395388     0.11434399    -0.04480158     0.03913443    -0.00484548     0.01026065    -0.00045912     0.00665745     0.17757981     0.00000000     0.00000000     0.00000000     0.06841393     0.00000000     0.05794385     0.18963266     0.03302179     0.08073494     0.02435536     0.07986062     0.01370017     0.04131939     0.01268752     0.03621778     0.00770018     0.02020475     0.00666706     0.01527965     0.00489833     0.01063704     0.00501563     0.00736099
    1829.818    -1.06087066     0.00000000     0.00000000     0.00000000     0.16851554     0.00000000     1.17476868    -1.12992733     0.01189748    -0.72269156     0.27384208    -0.68828690     0.03626867     0.03852197     0.03986599     0.13139283    -0.00919733     0.13553179    -0.05208862     0.08250813    -0.00029002     0.01400080    -0.01149910    -0.01511455     0.07087866     0.00000000     0.00000000     0.00000000     0.02626961     0.00000000     0.03233181     0.08855621     0.01326410     0.06254333     0.01549671     0.03543302     0.00899877     0.03707010     0.01028848     0.01810026     0.00646055     0.01940236     0.00633159     0.00995289     0.00527657     0.00986311     0.00438269     0.00708375
    1840.059    -1.00370888     0.00000000    -0.00000000     0.00000000     0.16425397    -0.00000000     1.16779863    -0.99776709     0.01456770    -0.63378151     0.27241239    -0.72658480     0.04295906    -0.00520507     0.05020198     0.13830409    -0.01374688     0.15738855    -0.06231638     0.08208466     0.00134370     0.00571940    -0.00260777    -0.02284501     0.07087982     0.00000000    -0.00000000     0.00000000     0.02626962     0.00000000     0.03233183     0.08855875     0.01326410     0.06254353     0.01549671     0.03543305     0.00899877     0.03707011     0.01028848     0.01810026     0.00646055     0.01940236     0.00633159     0.00995289     0.00527657     0.00986311     0.00438269     0.00708375
