       W           E0+            E0-            M0+            M0-            E1+            E1-            M1+            M1-            E2+            E2-            M2+            M2-            E3+            E3-            M3+            M3-            E4+            E4-            M4+             M4-           E5+            E5-            M5+            M5-            ErrE0+         ErrE0-         ErrM0+         ErrM0-         ErrE1+          ErrE1-        ErrM1+          ErrM1-        ErrE2+         ErrE2-         ErrM2+         ErrM2-         ErrE3+          ErrE3-        ErrM3+         ErrM3-         ErrE4+         ErrE4-         ErrM4+         ErrM4-         ErrE5+         ErrE5-         ErrM5+         ErrM5- 
    1613.572    -9.41271720     0.00000000     0.00000000     0.00000000    -0.32733297     0.00000000     0.35915417    -1.24312037    -0.01082217    -0.62260604     0.05297234    -0.50254196    -0.02243320    -0.01667276     0.02536311    -0.01786094    -0.01685054     0.00100137     0.00686676     0.00114584     0.00064225    -0.00574184     0.00907547     0.00039845     0.03328096     0.00000000     0.00000000     0.00000000     0.01659830     0.00000000     0.02846018     0.05199759     0.00964780     0.02701305     0.01390180     0.01931773     0.00684753     0.01355918     0.00905750     0.01158492     0.00513954     0.00849748     0.00626536     0.00758846     0.00375331     0.00582971     0.00453094     0.00510854
    1624.871    -8.08695849     0.00000000     0.00000000     0.00000000    -0.34041643     0.00000000     0.34041570    -1.27441613     0.01163652    -0.59243513     0.07166763    -0.46275103    -0.02678521    -0.03379348     0.02256687    -0.05212739    -0.01411755    -0.00331840     0.00526412    -0.00076557     0.00068879    -0.00459615     0.00946177     0.00306956     0.03517751     0.00000000     0.00000000     0.00000000     0.01662622     0.00000000     0.02775333     0.05115256     0.00958048     0.02785530     0.01355623     0.01925505     0.00666247     0.01367902     0.00881414     0.01151079     0.00501588     0.00855785     0.00617920     0.00766859     0.00371921     0.00590334     0.00452433     0.00509586
    1635.978    -6.92436915     0.00000000     0.00000000     0.00000000    -0.35144834     0.00000000     0.33141238    -1.27368957     0.03459880    -0.56752043     0.09325724    -0.43053862    -0.02844008    -0.04816669     0.01343429    -0.08271726    -0.00986805    -0.00248567     0.00010560    -0.00292077    -0.00262299    -0.00195240     0.00933458     0.00112359     0.03693202     0.00000000     0.00000000     0.00000000     0.01667358     0.00000000     0.02723332     0.04978557     0.00944887     0.02781489     0.01319085     0.01871192     0.00642845     0.01361646     0.00853144     0.01117879     0.00479269     0.00844410     0.00591649     0.00744736     0.00355229     0.00591201     0.00436472     0.00490457
    1646.896    -5.96830492     0.00000000     0.00000000     0.00000000    -0.36830083     0.00000000     0.30224077    -1.22031303     0.05844362    -0.51777867     0.12956032    -0.42110049    -0.02680871    -0.07246731     0.01442448    -0.11045365    -0.00307439    -0.00070885    -0.00044758    -0.00443651    -0.00440769    -0.00086312     0.00731007     0.00033229     0.03931024     0.00000000     0.00000000     0.00000000     0.01768007     0.00000000     0.02935119     0.04983631     0.00991162     0.02861660     0.01392824     0.01902373     0.00664083     0.01416700     0.00887183     0.01135659     0.00489118     0.00883808     0.00614575     0.00764344     0.00364376     0.00612492     0.00454684     0.00503787
    1657.629    -5.28283528     0.00000000     0.00000000     0.00000000    -0.38799672     0.00000000     0.27954751    -1.15036622     0.06989841    -0.46457336     0.15804387    -0.41215208    -0.02814326    -0.10436018     0.02104861    -0.12675146     0.00139708     0.00359407     0.00310373    -0.00307843    -0.00171598     0.00000238     0.00592428    -0.00092633     0.03966718     0.00000000     0.00000000     0.00000000     0.01752428     0.00000000     0.02897882     0.04884716     0.00982972     0.02883158     0.01371371     0.01878633     0.00646595     0.01424525     0.00869144     0.01128250     0.00474651     0.00882102     0.00605834     0.00763779     0.00355914     0.00605960     0.00443068     0.00495613
    1671.271    -4.78798702     0.00000000     0.00000000     0.00000000    -0.42244236     0.00000000     0.24300274    -1.04399542     0.07138681    -0.42735537     0.17718901    -0.41740082    -0.03008113    -0.15087643     0.03582571    -0.15700996     0.00014596    -0.00005194     0.00420028     0.00460931    -0.00326634     0.00317494     0.00273668    -0.00486662     0.03841904     0.00000000     0.00000000     0.00000000     0.01772638     0.00000000     0.02960486     0.04754545     0.01006257     0.02782689     0.01386002     0.01808767     0.00656112     0.01385405     0.00857491     0.01092372     0.00467864     0.00860078     0.00578821     0.00722150     0.00335932     0.00576261     0.00433551     0.00485564
    1691.639    -4.70000947     0.00000000     0.00000000     0.00000000    -0.51409968     0.00000000     0.15339286    -0.86697440     0.05005029    -0.45531569     0.17457775    -0.43949795    -0.03323399    -0.21923833     0.06414020    -0.20712052    -0.01047466    -0.00549370     0.01157099     0.01353928    -0.00528569     0.00622277     0.00021525    -0.00675655     0.03817225     0.00000000     0.00000000     0.00000000     0.01783661     0.00000000     0.02947135     0.04665648     0.01008975     0.02836293     0.01382320     0.01787557     0.00663879     0.01382061     0.00851693     0.01077188     0.00472265     0.00861123     0.00588792     0.00714397     0.00339848     0.00577672     0.00430165     0.00478640
    1711.271    -4.82590082     0.00000000     0.00000000     0.00000000    -0.59479547     0.00000000     0.02188449    -0.71861322     0.02031931    -0.50061054     0.16026722    -0.44671539    -0.04227012    -0.26585162     0.07410062    -0.22856147    -0.01897216    -0.00792276     0.01390820     0.01781365    -0.01046994     0.00539178     0.00420567    -0.00437818     0.03870059     0.00000000     0.00000000     0.00000000     0.01795843     0.00000000     0.02930690     0.04588173     0.01026462     0.02855844     0.01385046     0.01780841     0.00683535     0.01397486     0.00865452     0.01073458     0.00485357     0.00879469     0.00607541     0.00721154     0.00361793     0.00613954     0.00447438     0.00486463
    1730.083    -4.68935156     0.00000000     0.00000000     0.00000000    -0.62162711     0.00000000    -0.11716737    -0.60000083     0.00399092    -0.51059245     0.15468087    -0.45136674    -0.04523076    -0.26583138     0.06863749    -0.22083664    -0.01534619    -0.01003848     0.01160108     0.01848767    -0.01403235     0.00771942     0.00451210     0.00076881     0.04552820     0.00000000     0.00000000     0.00000000     0.02112276     0.00000000     0.03179543     0.04885269     0.01238469     0.03029996     0.01570620     0.01889048     0.00819643     0.01527931     0.01004791     0.01125134     0.00553147     0.00941131     0.00680918     0.00723826     0.00407858     0.00688316     0.00493235     0.00528299
    1748.157    -4.41000383     0.00000000     0.00000000     0.00000000    -0.60778211     0.00000000    -0.24286103    -0.50675038    -0.00481224    -0.50368740     0.14564683    -0.45015867    -0.04204613    -0.25139590     0.06784554    -0.20444505    -0.00599246    -0.00900777     0.01000615     0.00747296    -0.01418154     0.01184447     0.00504018     0.00477253     0.04420223     0.00000000     0.00000000     0.00000000     0.02148983     0.00000000     0.02817486     0.04734811     0.01354580     0.02976575     0.01481060     0.01917606     0.00917163     0.01521896     0.00968054     0.01276982     0.00620325     0.00932327     0.00676709     0.00764032     0.00444650     0.00677396     0.00526206     0.00581684
    1765.408    -4.14757244     0.00000000     0.00000000     0.00000000    -0.58925779     0.00000000    -0.33509196    -0.41370692    -0.01573006    -0.49375735     0.10700239    -0.43025443    -0.04375119    -0.24500140     0.07656294    -0.18493983    -0.00326900    -0.00527438     0.00025711    -0.00422627    -0.01655354     0.01656005     0.00801885     0.00604649     0.09665481     0.00000000     0.00000000     0.00000000     0.04576279     0.00000000     0.05833274     0.09270891     0.02384645     0.04588273     0.03103172     0.03302914     0.01425416     0.02460857     0.02047422     0.01921224     0.00742784     0.01216003     0.01078934     0.00994440     0.00459875     0.00783365     0.00670360     0.00676446
    1781.861    -3.90689552     0.00000000     0.00000000     0.00000000    -0.59311161     0.00000000    -0.42567013    -0.28727338    -0.02335077    -0.48519985     0.06602209    -0.41561813    -0.05150086    -0.23922383     0.09499760    -0.18764511     0.00225694    -0.00614134    -0.00678715    -0.01238985    -0.02135924     0.02207708     0.00675876     0.00481357     0.06871483     0.00000000     0.00000000     0.00000000     0.03568110     0.00000000     0.03541055     0.06059452     0.02392219     0.03293811     0.02071682     0.03160715     0.01465809     0.01613009     0.01481483     0.02131158     0.00832943     0.00981470     0.00883839     0.01296092     0.00484177     0.00621095     0.00642498     0.00793854
    1801.447    -3.57263654     0.00000000     0.00000000     0.00000000    -0.57573129     0.00000000    -0.50443829    -0.15329223    -0.01492049    -0.43503775     0.03332596    -0.38275225    -0.06485754    -0.22196763     0.11587356    -0.21392594     0.01630450    -0.01185981    -0.00739687    -0.01827395    -0.02346485     0.02500055    -0.00073251     0.00281141     0.12655497     0.00000000     0.00000000     0.00000000     0.05740745     0.00000000     0.08555971     0.11778763     0.04047465     0.08616359     0.04561890     0.04377313     0.02470081     0.04825814     0.02240529     0.03101970     0.01392584     0.02188776     0.01106228     0.01635212     0.00656105     0.01129809     0.00656724     0.00994059
    1829.818    -3.08380273     0.00000000     0.00000000     0.00000000    -0.45940645     0.00000000    -0.60726477     0.29999303    -0.03198415    -0.17886006     0.00711355    -0.40437551    -0.03765664    -0.27195577     0.12254205    -0.19099864     0.00778126     0.01698128     0.00784970    -0.05743347    -0.00910302     0.00963613    -0.02279917     0.02373352     0.13906838     0.00000000     0.00000000     0.00000000     0.05466852     0.00000000     0.06794646     0.16611064     0.02341433     0.07334717     0.03109774     0.06915593     0.01341920     0.03437708     0.01562250     0.03750512     0.00662697     0.01534475     0.00717754     0.01730530     0.00447010     0.00882351     0.00454874     0.00842135
    1840.059    -3.15117124     0.00000000    -0.00000000     0.00000000    -0.45106422     0.00000000    -0.56846685     0.37204950    -0.04973910    -0.15835288    -0.01067384    -0.39240053    -0.01837880    -0.30160020     0.12835186    -0.12899413    -0.00444621     0.02676358     0.00302327    -0.08283485    -0.00590664     0.00564382    -0.01833373     0.03167704     0.13907821     0.00000000    -0.00000000     0.00000000     0.05466866     0.00000000     0.06794692     0.16615313     0.02341434     0.07334812     0.03109775     0.06915670     0.01341920     0.03437710     0.01562250     0.03750517     0.00662697     0.01534475     0.00717754     0.01730530     0.00447010     0.00882351     0.00454874     0.00842135
