#############################################################################################################
# EtaMAID2016h eta photoproduction solutions | DATABASE: www.data.pwatuzla.com
# Reaction: gama p --> eta p
# Published: Tiator, L., Gorchtein, M., Kashevarov, V.L. et al. Eur. Phys. J. A (2018) 54: 210. 
############################################################################################################# 
   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1537.0  -14.595933   9.434049    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.055100   0.353863    0.000000   0.000000    0.519629   0.836445   -0.803296   0.613429   -0.003692  -0.012706   -0.741181   0.103658    0.000874  -0.004165   -0.520679   0.040289   -0.008987  -0.000838    0.007743   0.049822    0.010817   0.000678    0.002886   0.029724   -0.000139  -0.000925   -0.000391   0.009724   -0.000279  -0.003766   -0.000066   0.001943   -0.000003   0.000005    0.000006  -0.000001    0.000035  -0.000035   -0.000010   0.000023
 1542.0  -14.702099   8.320512    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.064444   0.371071    0.000000   0.000000    0.529257   0.875562   -0.831860   0.596668   -0.003919  -0.013825   -0.771698   0.052461    0.001577  -0.005398   -0.543949   0.003877   -0.010121  -0.000926    0.008327   0.056967    0.012222   0.000728    0.002973   0.034298   -0.000166  -0.001077   -0.000471   0.011378   -0.000306  -0.004422   -0.000078   0.002284   -0.000004   0.000006    0.000007  -0.000001    0.000047  -0.000047   -0.000013   0.000030
 1547.0  -14.723701   7.255565    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.074523   0.387449    0.000000   0.000000    0.536261   0.912914   -0.858116   0.577600   -0.004105  -0.014942   -0.792179   0.003240    0.002430  -0.006806   -0.560617  -0.031325   -0.011264  -0.001013    0.008773   0.064416    0.013647   0.000775    0.002955   0.039138   -0.000195  -0.001233   -0.000559   0.013108   -0.000328  -0.005110   -0.000090   0.002642   -0.000005   0.000009    0.000009  -0.000000    0.000062  -0.000061   -0.000016   0.000039
 1552.0  -14.671164   6.238404    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.085355   0.403044    0.000000   0.000000    0.540815   0.948695   -0.882429   0.556738   -0.004248  -0.016059   -0.804742  -0.042784    0.003452  -0.008399   -0.572072  -0.064547   -0.012413  -0.001097    0.009053   0.072172    0.015087   0.000819    0.002811   0.044251   -0.000226  -0.001395   -0.000655   0.014904   -0.000345  -0.005827   -0.000103   0.003017   -0.000007   0.000011    0.000010  -0.000000    0.000079  -0.000078   -0.000020   0.000049
 1557.0  -14.552639   5.267364    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.096955   0.417882    0.000000   0.000000    0.543062   0.983047   -0.905118   0.534485   -0.004341  -0.017182   -0.811264  -0.085084    0.004666  -0.010188   -0.579535  -0.095481   -0.013566  -0.001181    0.009134   0.080239    0.016539   0.000859    0.002512   0.049645   -0.000259  -0.001560   -0.000760   0.016760   -0.000357  -0.006572   -0.000116   0.003407   -0.000009   0.000015    0.000012   0.000000    0.000098  -0.000097   -0.000025   0.000061
 1562.0  -14.374069   4.340479    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.109337   0.431970    0.000000   0.000000    0.543117   1.016076   -0.926472   0.511156   -0.004378  -0.018314   -0.813292  -0.123581    0.006100  -0.012187   -0.584004  -0.124119   -0.014719  -0.001264    0.008976   0.088623    0.018000   0.000898    0.002031   0.055329   -0.000294  -0.001727   -0.000874   0.018668   -0.000364  -0.007340   -0.000128   0.003810   -0.000012   0.000018    0.000014   0.000001    0.000120  -0.000119   -0.000029   0.000074
 1567.0  -14.139357   3.456048    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.122513   0.445297    0.000000   0.000000    0.541076   1.047853   -0.946756   0.487000   -0.004353  -0.019460   -0.812042  -0.158467    0.007787  -0.014408   -0.586252  -0.150632   -0.015871  -0.001346    0.008535   0.097331    0.019466   0.000935    0.001330   0.061313   -0.000331  -0.001897   -0.000997   0.020623   -0.000364  -0.008130   -0.000140   0.004227   -0.000015   0.000023    0.000016   0.000002    0.000145  -0.000143   -0.000034   0.000089
 1572.0  -13.850650   2.613178    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.136487   0.457841    0.000000   0.000000    0.537025   1.078425   -0.966227   0.462210   -0.004257  -0.020623   -0.808441  -0.190070    0.009768  -0.016866   -0.586845  -0.175288   -0.017020  -0.001428    0.007762   0.106370    0.020936   0.000971    0.000369   0.067605   -0.000370  -0.002069   -0.001130   0.022618   -0.000358  -0.008939   -0.000152   0.004654   -0.000019   0.000028    0.000018   0.000003    0.000173  -0.000171   -0.000039   0.000105
 1577.0  -13.508754   1.812302    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.151262   0.469566    0.000000   0.000000    0.531040   1.107815   -0.985138   0.436928   -0.004080  -0.021807   -0.803173  -0.218783    0.012093  -0.019571   -0.586178  -0.198400   -0.018163  -0.001510    0.006596   0.115747    0.022407   0.001007   -0.000899   0.074214   -0.000410  -0.002241   -0.001273   0.024650   -0.000345  -0.009764   -0.000163   0.005093   -0.000023   0.000034    0.000019   0.000005    0.000204  -0.000201   -0.000044   0.000123
 1582.0  -13.113729   1.055616    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.166830   0.480427    0.000000   0.000000    0.523193   1.136027   -1.003749   0.411256   -0.003812  -0.023014   -0.796727  -0.245006    0.014822  -0.022536   -0.584492  -0.220289   -0.019301  -0.001593    0.004970   0.125463    0.023877   0.001043   -0.002529   0.081144   -0.000452  -0.002415   -0.001427   0.026713   -0.000325  -0.010605   -0.000173   0.005542   -0.000028   0.000041    0.000021   0.000007    0.000238  -0.000234   -0.000049   0.000142
 1587.0  -12.665666   0.347359    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.183178   0.490369    0.000000   0.000000    0.513555   1.163048   -1.022336   0.385250   -0.003439  -0.024247   -0.789436  -0.269127    0.018030  -0.025766   -0.581904  -0.241266   -0.020430  -0.001677    0.002803   0.135515    0.025346   0.001081   -0.004586   0.088395   -0.000495  -0.002588   -0.001592   0.028803   -0.000298  -0.011459   -0.000183   0.006000   -0.000033   0.000049    0.000023   0.000009    0.000275  -0.000270   -0.000054   0.000163
 1592.0  -12.165618  -0.306166    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.200281   0.499329    0.000000   0.000000    0.502201   1.188852   -1.041204   0.358918   -0.002943  -0.025506   -0.781507  -0.291497    0.021803  -0.029262   -0.578413  -0.261613   -0.021551  -0.001763    0.000006   0.145891    0.026812   0.001121   -0.007144   0.095960   -0.000540  -0.002762   -0.001769   0.030918   -0.000264  -0.012325   -0.000192   0.006467   -0.000039   0.000057    0.000025   0.000012    0.000315  -0.000309   -0.000059   0.000185
 1597.0  -11.616617  -0.896952    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.218104   0.507237    0.000000   0.000000    0.489209   1.213401   -1.060696   0.332213   -0.002307  -0.026791   -0.773048  -0.312430    0.026249  -0.033013   -0.573907  -0.281570   -0.022663  -0.001850   -0.003526   0.156565    0.028275   0.001163   -0.010285   0.103822   -0.000586  -0.002936   -0.001959   0.033054   -0.000222  -0.013200   -0.000201   0.006943   -0.000046   0.000067    0.000026   0.000015    0.000358  -0.000351   -0.000064   0.000208
 1602.0  -11.024575  -1.416105    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.236599   0.514023    0.000000   0.000000    0.474667   1.236651   -1.081207   0.305011   -0.001506  -0.028096   -0.764077  -0.332187    0.031495  -0.036992   -0.568168  -0.301316   -0.023764  -0.001941   -0.007909   0.167493    0.029732   0.001209   -0.014103   0.111948   -0.000633  -0.003109   -0.002161   0.035208   -0.000173  -0.014084   -0.000208   0.007427   -0.000053   0.000077    0.000028   0.000019    0.000404  -0.000395   -0.000068   0.000233
