#############################################################################################################
# EtaMAID2016a eta photoproduction solutions | DATABASE: www.data.pwatuzla.com
# Reaction: gama p --> eta p
# Published: Tiator, L., Gorchtein, M., Kashevarov, V.L. et al. Eur. Phys. J. A (2018) 54: 210. 
#############################################################################################################   
   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1537.0   -8.244430  15.233020    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.104751   0.196640    0.000000   0.000000    1.271330   0.327127    0.154402   0.584410    0.018885  -0.009224   -0.534975   0.708527   -0.028847  -0.044276   -0.322061   0.459526    0.000577  -0.001963    0.000986   0.015539    0.008915  -0.002787    0.031984   0.007608   -0.000016  -0.000075    0.005367   0.001180    0.000422  -0.000290    0.005323   0.000340   -0.000001  -0.000003    0.000003   0.000042    0.000016  -0.000016    0.000032   0.000012
 1542.0   -8.989636  14.166710    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.103550   0.209109    0.000000   0.000000    1.315299   0.346879    0.154902   0.585907    0.021346  -0.009024   -0.579504   0.665823   -0.031447  -0.051243   -0.350934   0.441725    0.000688  -0.002270    0.000929   0.017922    0.010330  -0.003170    0.036343   0.008997   -0.000019  -0.000092    0.006234   0.001433    0.000517  -0.000352    0.006227   0.000417   -0.000002  -0.000004    0.000003   0.000054    0.000021  -0.000021    0.000041   0.000016
 1547.0   -9.585637  13.112802    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.101613   0.221294    0.000000   0.000000    1.355172   0.366294    0.154627   0.584077    0.023865  -0.008560   -0.609965   0.622637   -0.033986  -0.058967   -0.372302   0.423595    0.000809  -0.002593    0.000850   0.020444    0.011822  -0.003560    0.040826   0.010521   -0.000022  -0.000111    0.007129   0.001713    0.000624  -0.000421    0.007171   0.000503   -0.000002  -0.000005    0.000004   0.000068    0.000027  -0.000026    0.000050   0.000020
 1552.0  -10.052960  12.085275    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.099006   0.233214    0.000000   0.000000    1.391379   0.385447    0.153618   0.579184    0.026423  -0.007810   -0.629252   0.581032   -0.036415  -0.067542   -0.387815   0.406272    0.000941  -0.002930    0.000754   0.023115    0.013390  -0.003954    0.045425   0.012192   -0.000026  -0.000132    0.008045   0.002019    0.000743  -0.000497    0.008152   0.000598   -0.000002  -0.000006    0.000004   0.000084    0.000033  -0.000032    0.000061   0.000024
 1557.0  -10.410919  11.092712    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.095786   0.244884    0.000000   0.000000    1.424273   0.404404    0.151897   0.571423    0.028996  -0.006754   -0.639751   0.542025   -0.038667  -0.077062   -0.398837   0.390295    0.001084  -0.003282    0.000647   0.025947    0.015031  -0.004352    0.050133   0.014020   -0.000030  -0.000155    0.008978   0.002351    0.000874  -0.000579    0.009167   0.000703   -0.000003  -0.000007    0.000004   0.000103    0.000041  -0.000040    0.000074   0.000030
 1562.0  -10.676857  10.139346    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.092004   0.256316    0.000000   0.000000    1.454150   0.423226    0.149468   0.560937    0.031555  -0.005369   -0.643325   0.506033   -0.040651  -0.087627   -0.406436   0.375868    0.001239  -0.003647    0.000533   0.028957    0.016742  -0.004750    0.054946   0.016022   -0.000034  -0.000180    0.009922   0.002711    0.001017  -0.000668    0.010210   0.000818   -0.000003  -0.000008    0.000005   0.000123    0.000049  -0.000048    0.000087   0.000035
 1567.0  -10.865718   9.226039    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.087702   0.267517    0.000000   0.000000    1.481261   0.441971    0.146322   0.547817    0.034065  -0.003636   -0.641385   0.473149   -0.042247  -0.099331   -0.411425   0.363011    0.001406  -0.004025    0.000416   0.032165    0.018522  -0.005147    0.059859   0.018213   -0.000038  -0.000208    0.010873   0.003098    0.001173  -0.000763    0.011280   0.000943   -0.000004  -0.000010    0.000005   0.000146    0.000059  -0.000057    0.000103   0.000042
 1572.0  -10.989817   8.351131    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.082919   0.278495    0.000000   0.000000    1.505821   0.460694    0.142437   0.532108    0.036486  -0.001536   -0.634987   0.443312   -0.043303  -0.112265   -0.414416   0.351652    0.001585  -0.004416    0.000297   0.035598    0.020367  -0.005542    0.064865   0.020615   -0.000042  -0.000238    0.011827   0.003511    0.001343  -0.000864    0.012373   0.001079   -0.000004  -0.000012    0.000005   0.000172    0.000070  -0.000068    0.000119   0.000049
 1577.0  -11.058720   7.511159    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.077690   0.289258    0.000000   0.000000    1.528011   0.479452    0.137785   0.513810    0.038769   0.000947   -0.624914   0.416396   -0.043630  -0.126502   -0.415868   0.341686    0.001777  -0.004817    0.000175   0.039287    0.022277  -0.005932    0.069960   0.023250   -0.000047  -0.000270    0.012780   0.003952    0.001526  -0.000972    0.013487   0.001227   -0.000005  -0.000013    0.000005   0.000201    0.000082  -0.000079    0.000138   0.000057
 1582.0  -11.079152   6.701494    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.072047   0.299811    0.000000   0.000000    1.547990   0.498303    0.132330   0.492879    0.040857   0.003824   -0.611744   0.392265   -0.043000  -0.142093   -0.416121   0.332993    0.001982  -0.005230    0.000043   0.043270    0.024249  -0.006315    0.075135   0.026146   -0.000052  -0.000305    0.013730   0.004421    0.001723  -0.001087    0.014619   0.001386   -0.000005  -0.000016    0.000004   0.000233    0.000096  -0.000092    0.000157   0.000066
