       W           E0+          E0-         M0+         M0-         E1+         E1-         M1+         M1-         E2+         E2-         M2+         M2-         E3+         E3-         M3+         M3-         E4+         E4-         M4+         M4-         E5+         E5-         M5+         M5-       ErrE0+      ErrE0-      ErrM0+      ErrM0-      ErrE1+      ErrE1-      ErrM1+      ErrM1-      ErrE2+      ErrE2-      ErrM2+      ErrM2-      ErrE3+      ErrE3-      ErrM3+      ErrM3-      ErrE4+      ErrE4-      ErrM4+      ErrM4-      ErrE5+      ErrE5-      ErrM5+      ErrM5- 
    1624.871      1.2766      0.0000      0.0000      0.0000      0.1129      0.0000      0.5872      0.1675      0.0935     -0.0340     -0.0896      0.2268      0.0312      0.1646     -0.0026      0.0928     -0.0091      0.0467     -0.0012     -0.0051      0.0047     -0.0013      0.0034     -0.0025      0.1258      0.8005      0.8005      0.8005      0.0493      0.4598      0.0501      0.1210      0.0283      0.0758      0.0295      0.0491      0.0181      0.0352      0.0178      0.0273      0.0124      0.0201      0.0129      0.0182      0.0082      0.0128      0.0088      0.0098
    1635.978      0.6190      0.0000      0.0000      0.0000      0.1442      0.0000      0.6771     -0.0498      0.0749     -0.1001     -0.1133      0.1877      0.0426      0.1950     -0.0025      0.1028     -0.0082      0.0446     -0.0050      0.0034      0.0055      0.0025      0.0001      0.0033      0.1229      0.8072      0.8072      0.8072      0.0479      0.4786      0.0491      0.1177      0.0273      0.0751      0.0290      0.0480      0.0173      0.0351      0.0176      0.0272      0.0120      0.0210      0.0129      0.0177      0.0079      0.0135      0.0087      0.0093
    1646.896      0.3028      0.0000      0.0000      0.0000      0.1839      0.0000      0.7537     -0.2611      0.0553     -0.1451     -0.1510      0.1614      0.0357      0.2293     -0.0230      0.1043     -0.0079      0.0391     -0.0112      0.0027      0.0019      0.0046     -0.0042      0.0058      0.1198      0.8128      0.8128      0.8128      0.0470      0.4951      0.0504      0.1154      0.0269      0.0743      0.0294      0.0473      0.0171      0.0354      0.0182      0.0268      0.0118      0.0214      0.0129      0.0172      0.0076      0.0136      0.0089      0.0090
    1657.629      0.2513      0.0000      0.0000      0.0000      0.2229      0.0000      0.7964     -0.4405      0.0526     -0.1705     -0.1854      0.1394      0.0279      0.2678     -0.0441      0.0964     -0.0117      0.0344     -0.0202     -0.0043      0.0046      0.0049      0.0056     -0.0035      0.1155      0.8178      0.8178      0.8178      0.0459      0.5104      0.0496      0.1114      0.0267      0.0725      0.0289      0.0457      0.0171      0.0349      0.0179      0.0254      0.0120      0.0214      0.0119      0.0160      0.0075      0.0137      0.0083      0.0087
    1671.271      0.3176      0.0000      0.0000      0.0000      0.2374      0.0000      0.7994     -0.5470      0.0471     -0.1706     -0.2075      0.1393      0.0158      0.2861     -0.0683      0.0938     -0.0060      0.0326     -0.0312     -0.0112     -0.0007     -0.0013     -0.0032      0.0074      0.1219      0.8244      0.8244      0.8244      0.0489      0.5330      0.0528      0.1130      0.0295      0.0721      0.0299      0.0474      0.0186      0.0342      0.0191      0.0249      0.0132      0.0213      0.0125      0.0155      0.0076      0.0134      0.0075      0.0085
    1691.639      0.4094      0.0000      0.0000      0.0000      0.2493      0.0000      0.8850     -0.6025      0.0514     -0.0662     -0.1716      0.1461      0.0201      0.3146     -0.0895      0.0774     -0.0011      0.0323     -0.0368     -0.0156      0.0062     -0.0053     -0.0068      0.0047      0.1089      0.8307      0.8307      0.8307      0.0437      0.5550      0.0503      0.1078      0.0251      0.0699      0.0272      0.0437      0.0155      0.0335      0.0169      0.0244      0.0114      0.0205      0.0119      0.0152      0.0066      0.0135      0.0076      0.0078
    1711.271      0.2812      0.0000      0.0000      0.0000      0.1715      0.0000      0.9505     -0.3573      0.0700      0.1032     -0.1027      0.0955      0.0168      0.3008     -0.1009      0.0618      0.0122      0.0460     -0.0253     -0.0225      0.0103     -0.0100     -0.0126      0.0077      0.1125      0.8354      0.8354      0.8354      0.0466      0.5730      0.0532      0.1119      0.0269      0.0707      0.0286      0.0462      0.0169      0.0346      0.0179      0.0267      0.0122      0.0209      0.0119      0.0166      0.0081      0.0142      0.0086      0.0089
    1730.083     -0.0040      0.0000      0.0000      0.0000      0.0409      0.0000      0.9013      0.1403      0.0843      0.2452     -0.0461     -0.0065      0.0148      0.2515     -0.0901      0.0490      0.0078      0.0616     -0.0091     -0.0323      0.0154     -0.0071     -0.0052      0.0128      0.1249      0.8390      0.8390      0.8390      0.0505      0.5880      0.0587      0.1245      0.0281      0.0734      0.0315      0.0533      0.0175      0.0369      0.0192      0.0299      0.0122      0.0208      0.0117      0.0182      0.0091      0.0134      0.0085      0.0096
    1748.157     -0.2588      0.0000      0.0000      0.0000     -0.0541      0.0000      0.8312      0.6164      0.1053      0.3235     -0.0000     -0.1336      0.0274      0.2050     -0.0661      0.0460      0.0013      0.0840      0.0042     -0.0466      0.0274     -0.0128      0.0112      0.0100      0.1315      0.8417      0.8417      0.8417      0.0545      0.6005      0.0671      0.1384      0.0278      0.0797      0.0347      0.0549      0.0187      0.0434      0.0221      0.0323      0.0123      0.0223      0.0124      0.0189      0.0092      0.0132      0.0086      0.0098
    1765.408     -0.6586      0.0000      0.0000      0.0000     -0.0819      0.0000      0.8214      0.8296      0.0849      0.2270     -0.0043     -0.1258      0.0372      0.2044     -0.0456      0.0199     -0.0034      0.0673      0.0120     -0.0394      0.0233     -0.0007      0.0101      0.0109      0.1561      0.8436      0.8436      0.8436      0.0608      0.6110      0.0722      0.1461      0.0356      0.0839      0.0413      0.0641      0.0195      0.0428      0.0242      0.0340      0.0139      0.0240      0.0159      0.0221      0.0101      0.0138      0.0097      0.0109
    1781.861     -0.9500      0.0000      0.0000      0.0000     -0.1206      0.0000      0.7858      0.9851      0.0828      0.1114      0.0178     -0.0865      0.0321      0.1871     -0.0427      0.0069     -0.0019      0.0571      0.0168     -0.0200      0.0068      0.0042      0.0060      0.0068      0.1848      0.8451      0.8451      0.8451      0.0785      0.6199      0.1021      0.1821      0.0418      0.1025      0.0568      0.0797      0.0254      0.0556      0.0329      0.0491      0.0152      0.0299      0.0179      0.0314      0.0104      0.0171      0.0125      0.0187
    1801.447     -1.0810      0.0000      0.0000      0.0000     -0.0998      0.0000      0.7224      0.9825      0.1143     -0.0039      0.0888     -0.0550      0.0532      0.1955     -0.0244     -0.0547      0.0077      0.0391      0.0156      0.0398     -0.0089      0.0215      0.0173     -0.0404      0.1497      0.8464      0.8464      0.8464      0.0804      0.6305      0.0779      0.1495      0.0413      0.1386      0.0420      0.0735      0.0321      0.0790      0.0302      0.0296      0.0136      0.0478      0.0145      0.0178      0.0123      0.0231      0.0103      0.0127
    1829.818     -1.1524      0.0000      0.0000      0.0000     -0.0996      0.0000      0.6329      1.2184      0.1486     -0.1051      0.1334     -0.2254      0.0676      0.1278     -0.0025      0.0555      0.0117      0.0277      0.0107      0.0360     -0.0126      0.0171      0.0045     -0.0528      0.1628      0.8471      0.8471      0.8471      0.0640      0.6420      0.0921      0.1363      0.0352      0.1211      0.0473      0.0499      0.0164      0.0732      0.0232      0.0278      0.0125      0.0371      0.0124      0.0179      0.0102      0.0179      0.0076      0.0124
    1840.096     -1.1016      0.0000     -0.0000     -0.0000     -0.1495      0.0000      0.5438      1.4536      0.1788     -0.0426      0.1682     -0.3379      0.0577      0.0258     -0.0022      0.1315      0.0179      0.0576      0.0063      0.0242     -0.0119     -0.0057     -0.0005     -0.0458      0.1628      1.1519      1.1519      1.1519      0.0640      0.7047      0.0921      0.1363      0.0352      0.1211      0.0473      0.0499      0.0164      0.0732      0.0232      0.0278      0.0125      0.0371      0.0124      0.0179      0.0102      0.0179      0.0076      0.0124
