   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1542.00   -8.289140  14.831299    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.002123   0.055894    0.000000   0.000000    1.029561   0.412134    0.170212   0.645857    0.042587   0.010624   -0.583621   0.659262   -0.068606  -0.034868   -0.254270   0.456835    0.000307  -0.000042    0.058845   0.060393    0.015775  -0.003353    0.043770   0.004288   -0.002867  -0.000217    0.000460   0.000474   -0.001736  -0.000580    0.006061   0.000583   -0.000001  -0.000001    0.000024   0.000011    0.000026  -0.000025    0.000040   0.000012
 1547.00   -9.012808  13.823022    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.005528   0.058564    0.000000   0.000000    1.059474   0.430004    0.168063   0.651879    0.044873   0.012012   -0.648297   0.636927   -0.067049  -0.038056   -0.287793   0.451723    0.000329  -0.000044    0.062616   0.067422    0.017783  -0.003752    0.048006   0.005366   -0.003135  -0.000246    0.000512   0.000566   -0.001827  -0.000681    0.006688   0.000675   -0.000002  -0.000001    0.000030   0.000014    0.000033  -0.000032    0.000050   0.000015
 1552.00   -9.612715  12.808465    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.009060   0.061066    0.000000   0.000000    1.086154   0.446883    0.163992   0.655255    0.047030   0.013509   -0.704954   0.607374   -0.064995  -0.041441   -0.317214   0.442488    0.000352  -0.000045    0.066020   0.074635    0.019863  -0.004153    0.052255   0.006615   -0.003391  -0.000275    0.000563   0.000667   -0.001896  -0.000790    0.007304   0.000774   -0.000002  -0.000001    0.000037   0.000017    0.000041  -0.000039    0.000061   0.000018
 1557.00  -10.099567  11.798009    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.012691   0.063405    0.000000   0.000000    1.109912   0.462848    0.157943   0.656049    0.049069   0.015127   -0.753730   0.572706   -0.062518  -0.045077   -0.342579   0.430320    0.000374  -0.000046    0.069058   0.082035    0.022012  -0.004553    0.056520   0.008057   -0.003636  -0.000305    0.000613   0.000776   -0.001940  -0.000906    0.007909   0.000879   -0.000002  -0.000001    0.000044   0.000021    0.000050  -0.000048    0.000073   0.000021
 1562.00  -10.483361  10.799240    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.016399   0.065586    0.000000   0.000000    1.131012   0.477971    0.149855   0.654261    0.050996   0.016877   -0.795128   0.534586   -0.059675  -0.049022   -0.364144   0.416172    0.000396  -0.000045    0.071729   0.089629    0.024230  -0.004948    0.060805   0.009713   -0.003871  -0.000336    0.000662   0.000894   -0.001961  -0.001030    0.008505   0.000990   -0.000002  -0.000001    0.000053   0.000026    0.000061  -0.000058    0.000087   0.000025
 1567.00  -10.772930   9.817528    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.020162   0.067614    0.000000   0.000000    1.149685   0.492315    0.139666   0.649825    0.052813   0.018770   -0.829844   0.494256   -0.056501  -0.053339   -0.382277   0.400767    0.000418  -0.000042    0.074029   0.097424    0.026514  -0.005339    0.065112   0.011609   -0.004094  -0.000367    0.000708   0.001021   -0.001958  -0.001161    0.009091   0.001107   -0.000003  -0.000001    0.000063   0.000031    0.000073  -0.000069    0.000102   0.000030
 1572.00  -10.975647   8.856671    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.023963   0.069493    0.000000   0.000000    1.166133   0.505942    0.127314   0.642614    0.054520   0.020822   -0.858631   0.452577   -0.053014  -0.058095   -0.397389   0.384624    0.000441  -0.000038    0.075954   0.105428    0.028862  -0.005721    0.069438   0.013773   -0.004307  -0.000399    0.000752   0.001157   -0.001930  -0.001299    0.009668   0.001231   -0.000003  -0.000002    0.000074   0.000036    0.000086  -0.000082    0.000119   0.000035
 1577.00  -11.097292   7.919547    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.027786   0.071229    0.000000   0.000000    1.180533   0.518907    0.112747   0.632442    0.056111   0.023045   -0.882218   0.410097   -0.049208  -0.063361   -0.409884   0.368095    0.000464  -0.000033    0.077495   0.113651    0.031273  -0.006092    0.073777   0.016240   -0.004510  -0.000431    0.000793   0.001302   -0.001878  -0.001445    0.010237   0.001362   -0.000003  -0.000002    0.000086   0.000043    0.000101  -0.000096    0.000138   0.000040
 1582.00  -11.142094   7.008780    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.031614   0.072826    0.000000   0.000000    1.193041   0.531268    0.095927   0.619061    0.057577   0.025453   -0.901247   0.367110   -0.045057  -0.069211   -0.420135   0.351399    0.000488  -0.000025    0.078639   0.122104    0.033744  -0.006452    0.078118   0.019045   -0.004704  -0.000463    0.000831   0.001456   -0.001803  -0.001597    0.010799   0.001501   -0.000004  -0.000002    0.000099   0.000050    0.000118  -0.000111    0.000158   0.000046
 1587.00  -11.112942   6.127378    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.035436   0.074292    0.000000   0.000000    1.203794   0.543077    0.076837   0.602157    0.058902   0.028062   -0.916238   0.323712   -0.040504  -0.075719   -0.428465   0.334657    0.000513  -0.000015    0.079371   0.130801    0.036275  -0.006798    0.082440   0.022228   -0.004888  -0.000496    0.000865   0.001618   -0.001703  -0.001756    0.011354   0.001646   -0.000004  -0.000002    0.000113   0.000058    0.000137  -0.000128    0.000180   0.000052
